"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Incentive Mechanism and Rating System Design for Crowdsourcing Systems: Analysis, Tradeoffs and Inference","H. Xie; J. C. S. Lui","School of Computing, National University of Singapore, Singapore; Department of Computer Science and Engineering, The Chinese University of Hong Kong, Hong Kong",IEEE Transactions on Services Computing,"5 Feb 2018","2018","11","1","90","102","Macrotasking crowdsourcing systems like Elance and Fiverr serve as efficient platforms for requesters to outsource challenging and innovative tasks that require special skills to workers. It is widely practiced in such systems that requesters reward workers based on requesters' assessment on solution quality. The challenge is that requesters' assessment may not be accurate to reflect the intrinsic quality of a solution due to human factors like personal preferences or biases. In this work, we consider answering the following questions: How to design a mechanism to incentivize workers provide high quality solutions in the presence of such human factors? How to formally study the impact of human factors on workers' financial incentive to participate? We design a mechanism to incentivize workers to provide high-quality contributions, which is robust to human factors. Our incentive mechanism consists of a “task bundling scheme” and a “rating system”, which reward workers based on requesters' rating on the solution quality. We propose a probabilistic model to capture human factors, and quantify their impact on the incentive mechanism. We formulate an optimization framework to select appropriate rating system parameters, which can be viewed as a tradeoff between “system efficiency”, i.e., the total number of tasks can be solved given a fixed reward budget, and the “rating system complexity”, which determines the human cognitive cost and time in expressing ratings. We also formulate an optimization framework to select appropriate bundling size, which can tradeoff system efficiency against service delay (i.e., the waiting time to form a task bundle). Finally, we conduct experiments on a dataset from Elance. Experimental results show that our incentive mechanism achieves at least 99.95 percent of the theoretical maximum system efficiency with a service delay of at most 2.3639 hours. Furthermore, we discover that the rating system in Elance is too complex, and it should be simplified to a binary rating system (i.e., two rating points).","1939-1374","","10.1109/TSC.2016.2539954","GRF(grant numbers:415112); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7429762","Crowdsourcing;incentive mechanism;rating system;tradeoffs","Crowdsourcing;Human factors;Optimization;Chlorine;System analysis and design;Delays;Games","","30","","49","IEEE","9 Mar 2016","","","IEEE","IEEE Journals"
"Anonymous Authentication on Trust in Blockchain-Based Mobile Crowdsourcing","W. Feng; Z. Yan; L. T. Yang; Q. Zheng","State Key Laboratory on Integrated Services Networks, School of Cyber Engineering, Xidian University, Xi’an, China; State Key Laboratory on Integrated Services Networks, School of Cyber Engineering, Xidian University, Xi’an, China; Department of Computer Science, St. Francis Xavier University, Antigonish, NS, Canada; School of Computer Science and Engineering, Xi’an Jiaotong University, Xi’an, China",IEEE Internet of Things Journal,"8 Aug 2022","2022","9","16","14185","14202","Mobile crowdsourcing (MCS) has become an effective data collection method due to its mobility, low cost, and flexibility. However, since centralized MCS confronts severe security and privacy risks in reality, many researchers are devoted to building a decentralized MCS system based on blockchain. Despite the effectiveness of these schemes, they fail to offer anonymous authentication on the trust of MCS nodes, although privacy is a main concern in MCS and trust plays an important role in a series of MCS activities, such as worker selection and truth discovery. Nevertheless, anonymous authentication on trust is not a trivial issue since trust evaluation usually conflicts with anonymity, which is a necessary privacy requirement in an open MCS environment. To tackle this problem, we leverage Intel software guard extension (SGX) and propose a scheme to anonymously authenticate trust with trustworthy trust evaluation in a blockchain-based MCS system. The scheme employs an SGX-enabled cloud server to periodically alter user public/private key pairs and mix newly altered keys among a number of faked keys in order to ensure unlinkability. Besides, we consider the unique features of MCS and work out a novel trust evaluation method by aggregating both subjective feedback and objective behaviors. Finally, we conduct several analyses and experiments to illustrate its security and efficiency.","2327-4662","","10.1109/JIOT.2020.3018878","National Natural Science Foundation of China(grant numbers:61672410,61802293); Academy of Finland(grant numbers:308087,314203,335262); National Postdoctoral Program for Innovative Talents(grant numbers:BX20180238); Project funded by China Postdoctoral Science Foundation(grant numbers:2018M633461); Key Laboratory of Information Network Security, Ministry of Public Security(grant numbers:C18614); Open Grant of the Tactical Data Link Lab of the 20th Research Institute of China Electronics Technology Group Corporation, China(grant numbers:CLDL-20182119); Shaanxi Innovation Team Project(grant numbers:2018TD-007); Higher Education Discipline Innovation Project(grant numbers:B16037); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9174637","Anonymous authentication;blockchain;mobile crowdsourcing (MCS);trust","Privacy;Authentication;Blockchain;Smart contracts;Internet of Things;Crowdsourcing","","30","","52","IEEE","24 Aug 2020","","","IEEE","IEEE Journals"
"Crowdsourcing of Histological Image Labeling and Object Delineation by Medical Students","A. Grote; N. S. Schaadt; G. Forestier; C. Wemmert; F. Feuerhake","Hannover Medical School, Institute for Pathology, Hannover, Germany; Hannover Medical School, Institute for Pathology, Hannover, Germany; IRIMAS, University of Haute Alsace, Mulhouse, France; ICube, University of Strasbourg, Illkirch, France; Institute for Pathology, Hannover Medical School, Hannover, Germany",IEEE Transactions on Medical Imaging,"1 May 2019","2019","38","5","1284","1294","Crowdsourcing in pathology has been performed on tasks that are assumed to be manageable by nonexperts. Demand remains high for annotations of more complex elements in digital microscopic images, such as anatomical structures. Therefore, this paper investigates conditions to enable crowdsourced annotations of high-level image objects, a complex task considered to require expert knowledge. Seventy six medical students without specific domain knowledge who voluntarily participated in three experiments solved two relevant annotation tasks on histopathological images: 1) labeling of images showing tissue regions and 2) delineation of morphologically defined image objects. We focus on methods to ensure sufficient annotation quality including several tests on the required number of participants and on the correlation of participants’ performance between tasks. In a set up simulating annotation of images with limited ground truth, we validated the feasibility of a confidence score using full ground truth. For this, we computed a majority vote using weighting factors based on individual assessment of contributors against scattered gold standard annotated by pathologists. In conclusion, we provide guidance for task design and quality control to enable a crowdsourced approach to obtain accurate annotations required in the era of digital pathology.","1558-254X","","10.1109/TMI.2018.2883237","Bundesministerium für Bildung und Forschung(grant numbers:FKZ:01ZX1308A); ILUMINATE(grant numbers:FKZ:031 B0006C); Bundesministerium für Bildung und Forschung(grant numbers:FKZ:031L0085A); French National Research Agency as part of the Investments for the future program; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8543843","Crowdsourcing;human decision making;image classification;image delineation;digital pathology;annotation;confidence score;majority vote","Task analysis;Labeling;Tools;Crowdsourcing;Pathology;Biomedical imaging;Training","Crowdsourcing;Decision Making;Feasibility Studies;Histocytochemistry;Humans;Image Processing, Computer-Assisted;Reproducibility of Results;Students, Medical","28","","42","OAPA","25 Nov 2018","","","IEEE","IEEE Journals"
"Stochastic Decision Making for Adaptive Crowdsourcing in Medical Big-Data Platforms","J. Kim; W. Lee","Mobile Communications Group, Intel Corporation, Santa Clara, CA, USA; Department of Computer Science and Engineering, Korea University, Seoul, Korea","IEEE Transactions on Systems, Man, and Cybernetics: Systems","20 May 2017","2015","45","11","1471","1476","This paper proposes two novel algorithms for adaptive crowdsourcing in 60-GHz medical imaging big-data platforms, namely, a max-weight scheduling algorithm for medical cloud platforms and a stochastic decision-making algorithm for distributed power-and-latency-aware dynamic buffer management in medical devices. In the first algorithm, medical cloud platforms perform a joint queue-backlog and rate-aware scheduling decisions for matching deployed access points (APs) and medical users where APs are eventually connected to medical clouds. In the second algorithm, each scheduled medical device computes the amounts of power allocation to upload its own medical data to medical big-data clouds with stochastic decision making considering joint energy-efficiency and buffer stability optimization. Through extensive simulations, the proposed algorithms are shown to achieve the desired results.","2168-2232","","10.1109/TSMC.2015.2415463","Ministry of Science, Information Communication Technology (ICT) and Future Planning, Korea(grant numbers:2013R1A2A2A01014000); Ministry of Education, Science and Technology, Korea, under Basic Science Research Program 2011-0012216; Ministry of Knowledge Economy and the Korea Evaluation Institute of Industrial Technology, Korea, under IT Research and Development Program KI001810041244 (SmartTV 2.0 Software Platform); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7079536","60 GHz;dynamic buffering;IEEE 802.11ad;medical big-data platforms;stochastic decision making;60 GHz;dynamic buffering;IEEE 802.11ad;medical big-data platforms;stochastic decision making","Biomedical imaging;Resource management;Decision making;Crowdsourcing;Scheduling;Heuristic algorithms;Wireless communication","","28","","23","IEEE","3 Apr 2015","","","IEEE","IEEE Journals"
"Incentive Mechanism for Spatial Crowdsourcing With Unknown Social-Aware Workers: A Three-Stage Stackelberg Game Approach","Y. Xu; M. Xiao; J. Wu; S. Zhang; G. Gao","School of Computer Science and Technology /Suzhou Institute for Advanced Research / the CAS Key Laboratory of Wireless-Optical Communications, University of Science and Technology of China (USTC), Hefei, China; School of Computer Science and Technology /Suzhou Institute for Advanced Research / the CAS Key Laboratory of Wireless-Optical Communications, University of Science and Technology of China (USTC), Hefei, China; Center for Networked Computing, Temple University, Philadelphia, PA, USA; State Key Laboratory for Novel Software Technology, Nanjing University, Nanjing, China; School of Computer Science and Technology, Soochow University, Suzhou, China",IEEE Transactions on Mobile Computing,"30 Jun 2023","2023","22","8","4698","4713","In this paper, we investigate the incentive problem in Spatial Crowdsourcing (SC), where mobile social-aware workers have unknown qualities and can share their answers to tasks via social networks. The objectives are to recruit high-quality workers and maximize all parties’ utilities simultaneously. However, most existing works assume that the qualities of workers are known in advance or cannot take all parties’ utilities into account together, especially having not considered the impact of social networks. Thus, we propose an incentive mechanism based on the multi-armed bandit and three-stage Stackelberg game, called TACT. We first design a greedy arm-pulling scheme to recruit workers, which not only can solve the exploration-exploitation dilemma but also takes workers’ social relations into account. Based on the recruitment results, we further design the utility functions incorporating with social benefits for workers, and model the payment computation problem as a three-stage Stackelberg game among all participants. Next, we derive the optimal strategy group so that each party can maximize its own utility to form a multi-win situation. Moreover, we theoretically prove the unique existence of Stackelberg equilibrium and the worst regret bound. Finally, we conduct extensive simulations on a real trace to corroborate the performance of TACT.","1558-0660","","10.1109/TMC.2022.3157687","National Key R&D Program of China(grant numbers:2018AAA0101204); National Natural Science Foundation of China(grant numbers:62172386,62102275,61872175,61872330,61936015,61572457); National Science Foundation(grant numbers:CNS 1824440,CNS 1828363,CNS 1757533,CNS 1618398,CNS 1651947,CNS 1564128); Natural Science Foundation of Jiangsu Province(grant numbers:BK20191194,BK20210704,BK20131174,BK2009150); Anhui Initiative in Quantum Information Technologies(grant numbers:AHY150300); Natural Science Foundation of the Jiangsu Higher Education Institutions of China(grant numbers:21KJB520025); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9730059","Incentive mechanism;multi-armed bandit;social network;spatial crowdsourcing;stackelberg game","Task analysis;Games;Social networking (online);Recruitment;Mobile computing;Crowdsourcing;Remuneration","","26","","50","IEEE","8 Mar 2022","","","IEEE","IEEE Journals"
"Digital-Twin-Enabled 6G Mobile Network Video Streaming Using Mobile Crowdsourcing","L. Qi; X. Xu; X. Wu; Q. Ni; Y. Yuan; X. Zhang","College of Computer Science and Technology, China University of Petroleum (East China), Qingdao, China; School of Software, Nanjing University of Information Science and Technology, Nanjing, China; School of Computer and Electronic Information, Nanjing Normal University, Nanjing, China; School of Computing and Communications, Lancaster University, Lancaster, U.K; School of Computer Science and Engineering and State Key Laboratory of Software Development Environment, Beihang University, Beijing, China; Department of Computing, Macquarie University, Macquarie Park, NSW, Australia",IEEE Journal on Selected Areas in Communications,"26 Oct 2023","2023","41","10","3161","3174","Digital-twin-enabled cloud-centric architecture is a promising evolution trend of sixth generation (6G) network, which brings new opportunities and challenges for mobile video streaming-related services requiring the exponentially increasing traffic demands. Device-to-Device (D2D) communication paradigm is an attractive technique to alleviate the problem. However, the previous research work on D2D built on individuals’ random mobility or position snapshot and cannot guarantee the stable communication flow. In this paper, we leverage the cybertwin as a centric controller and take advantages of crowdsourcing technology to attract mobile users to follow the specified path and share their network resources with other users. The design of the specified path is formulated as a problem of user recruitment optimization with cost constraint, which is a NP-Hard problem. Firstly, we investigate a special case of only one mobile user to offer the network resource and present a pseudo-polynomial time algorithm. Secondly, we present a graph-partition-based approach to solve the more complex case of multiple mobile users. Thirdly, we discuss the least expected budget to achieve the maximum utility in an ideal model. Fourthly, we perform extensive experiments to evaluate and compare the performance with the typical ones in simulated digital-twin-enabled 6G networks.","1558-0008","","10.1109/JSAC.2023.3310077","Natural Science Foundation of Shandong Province(grant numbers:ZR202212050072); National Natural Science Foundation of China(grant numbers:62372242,92267104); ARC DECRA(grant numbers:DE210101458); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10234540","Digital twin;video streaming;mobile crowdsourcing;communication assistance;movement optimization","6G mobile communication;Device-to-device communication;Delays;Mobile video;Performance evaluation;Optimization;Quality of service","","26","","46","IEEE","30 Aug 2023","","","IEEE","IEEE Journals"
"Incentive Mechanism Design to Meet Task Criteria in Crowdsourcing: How to Determine Your Budget","W. Wu; W. Wang; M. Li; J. Wang; X. Fang; Y. Jiang; J. Luo","School of Computer Science and Engineering, Southeast University, Nanjing, China; School of Computer Science and Engineering, Southeast University, Nanjing, China; Department of Computer Science, City University of Hong Kong, Hong Kong; Department of Computer Science, City University of Hong Kong, Hong Kong; School of Computer Science and Engineering, Southeast University, Nanjing, China; School of Computer Science and Engineering, Southeast University, Nanjing, China; School of Computer Science and Engineering, Southeast University, Nanjing, China",IEEE Journal on Selected Areas in Communications,"31 Mar 2017","2017","35","2","502","516","In crowdsourcing markets, a requester announces a task and calls for contribution from potential participants. With strategic participants, the requester needs to reward the participants to introduce the incentives of participation. However, it is natural to ask whether it is worth introducing incentives if the total payment for eliciting incentives is too high. This paper addresses such a fundamental concern by designing a frugal mechanism with minimum payment used to procure the total amount of service contributions demanded. We design two mechanisms to provide the incentives of participation while minimizing the payment used by the requester. We first propose a frugal auction-based mechanism, which stimulates participants to truthfully report their information. We theoretically prove that the payment used is not more than the optimal cost (with no incentive considered) plus a bounded additive. We then design a Stackelberg-game-based mechanism, in which the requester fixes a certain total payment at the very beginning so as to encourage the participants to compete for it and participate in the task. We verify the existence of a unique Nash equilibrium (NE) and develop a novel algorithm to find the NE, as well as the optimal payment to extract the NE. Our simulation results show that the payment used in these mechanisms is close to the optimal solution with no incentive considered, while the extra payment caused by introducing truthfulness in auction-based mechanism is about twice that of the NE in Stakelberg-game-based mechanism.","1558-0008","","10.1109/JSAC.2017.2659278","National Natural Science Foundation of China(grant numbers:61300024,61672154,61632008,61320106007,61170164,61472079,61502099); Jiangsu Provincial Natural Science Foundation of China(grant numbers:BK20130634,BK20140648); Funds for Distinguished Young Scholars of the Natural Science Foundation of Jiangsu Province(grant numbers:BK2012020); Jiangsu Provincial Key Laboratory of Network and Information Security(grant numbers:BM2003201); China Specialized Research Fund for the Doctoral Program of Higher Education(grant numbers:20130092120036); Key Laboratory of Computer Network and Information Integration of Ministry of Education of China(grant numbers:93K-9); Collaborative Innovation Center of Wireless Communications Technology; Hong Kong Research Grant Council under GRF Project(grant numbers:11213114); NSFC-Guangdong Joint Fund(grant numbers:U1501254); Research Grants Council of the Hong Kong Special Administrative Region, China, under Project CityU(grant numbers:117913); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7835200","Crowdsourcing;truthful mechanism design;frugality;Stackelberg-game;Nash equilibrium;fairness","Crowdsourcing;Procurement;Nash equilibrium;Additives;Algorithm design and analysis;Sensors;Resource management","","26","","44","IEEE","26 Jan 2017","","","IEEE","IEEE Journals"
"Target Tracking via Crowdsourcing: A Mechanism Design Approach","N. Cao; S. Brahma; P. K. Varshney","Department of Electrical Engineering and Computer Science, Syracuse University, Syracuse, NY, USA; Department of Electrical Engineering and Computer Science, Syracuse University, Syracuse, NY, USA; Department of Electrical Engineering and Computer Science, Syracuse University, Syracuse, NY, USA",IEEE Transactions on Signal Processing,"13 Feb 2015","2015","63","6","1464","1476","In this paper, we propose a crowdsourcing-based framework for myopic target tracking by designing an optimal incentive-compatible mechanism in a wireless sensor network (WSN) containing sensors that are selfish and profit-motivated. In typical WSNs which have limited bandwidth, the fusion center (FC) has to distribute the total number of bits that can be transmitted from the sensors to the FC among the sensors. In the formulation considered here, the FC conducts an auction by soliciting bids from the selfish sensors, which reflect how much they value their energy cost. Furthermore, the rationality and truthfulness of the sensors are guaranteed in our model. The final problem is formulated as a multiple-choice knapsack problem (MCKP), which is solved by the dynamic programming method in pseudo-polynomial time. Simulation results show the effectiveness of our proposed approach in terms of both the tracking performance and lifetime of the sensor network.","1941-0476","","10.1109/TSP.2015.2398838","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7027816","Auctions;bandwidth allocation;crowdsourcing;dynamic programming;incentive-compatible mechanism design;multiple-choice knapsack problem;target tracking","Target tracking;Wireless sensor networks;Bandwidth;Sensor fusion;Bit rate;Crowdsourcing","","24","","42","IEEE","30 Jan 2015","","","IEEE","IEEE Journals"
"Preference-Aware Task Assignment in Spatial Crowdsourcing: From Individuals to Groups","Y. Zhao; K. Zheng; H. Yin; G. Liu; J. Fang; X. Zhou","Department of Computer Science, Aalborg University, Aalborg, Denmark; School of Computer Science and Engineering, University of Electronic Science and Technology of China, Chengdu, China; University of Queensland, Brisbane, QLD, Australia; Department of Computing, Macquarie University, Sydney, NSW, Australia; School of Computer Science and Technology, Soochow University, Suzhou, China; University of Queensland, Brisbane, QLD, Australia",IEEE Transactions on Knowledge and Data Engineering,"3 Jun 2022","2022","34","7","3461","3477","With the ubiquity of smart devices, Spatial Crowdsourcing (SC) has emerged as a new transformative platform that engages mobile users to perform spatio-temporal tasks by physically traveling to specified locations. Thus, various SC techniques have been studied for performance optimization, among which one of the major challenges is how to assign workers the tasks that they are really interested in and willing to perform. In this paper, we propose a novel preference-aware spatial task assignment system based on workers’ temporal preferences, which consists of two components: History-based Context-aware Tensor Decomposition (HCTD) for workers’ temporal preferences modeling and preference-aware task assignment. We model workers’ preferences with a three-dimension tensor (worker-task-time). Supplementing the missing entries of the tensor through HCTD with the assistant of historical data and other two context matrices, we recover workers’ preferences for different categories of tasks in different time slots. Several preference-aware individual task assignment algorithms are then devised, aiming to maximize the total number of task assignments at every time instance, in which we give higher priorities to the workers who are more interested in the tasks. In order to make our proposed framework applicable to more scenarios, we further optimize the original framework by proposing strategies to allow each task to be assigned to a group of workers such that the task can be completed by these workers simultaneously, wherein workers’ tolerable waiting time, consensus, and tasks’ rewards are taken into consideration. We conduct extensive experiments using a real dataset, verifying the practicability of our proposed methods.","1558-2191","","10.1109/TKDE.2020.3021028","Natural Science Foundation of China(grant numbers:61972069,61532018,61836007,61832017); Sichuan Science and Technology Program(grant numbers:2020JDTD0007); Alibaba Innovation Research; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9184097","Spatial crowdsourcing;task assignment;worker preference","Task analysis;Tensile stress;Crowdsourcing;History;Electronic mail;Performance evaluation;Computer science","","24","","50","IEEE","1 Sep 2020","","","IEEE","IEEE Journals"
"Utilize Signal Traces from Others? A Crowdsourcing Perspective of Energy Saving in Cellular Data Communication","Z. Ou; J. Dong; S. Dong; J. Wu; A. Ylä-Jääski; P. Hui; R. Wang; A. W. Min","Department of Computer Science and Engineering, Aalto University, Espoo, Finland; Department of Computer Science and Engineering, Aalto University, Espoo, Finland; Department of Computer Science and Engineering, Aalto University, Espoo, Finland; Department of Computer Science and Engineering, Aalto University, Espoo, Finland; Department of Computer Science and Engineering, Aalto University, Espoo, Finland; Telekom Innovation Laboratories, Ernst-Reuter-Platz 7, Berlin, Germany; Systems and Software Research at Intel Labs, 2111 N.E. 25th Avenue, Hillsboro, OR; Systems and Software Research at Intel Labs, 2111 N.E. 25th Avenue, Hillsboro, OR",IEEE Transactions on Mobile Computing,"2 Dec 2014","2015","14","1","194","207","With the tremendous growth in wireless network deployment and increasing use of mobile devices, e.g., smartphones and tablets, improving energy efficiency in such devices, especially with communication driven workloads, is critical to providing a satisfactory user experience. Studies show that signal strength plays an important role on energy consumption of cellular data communications. While energy consumption can be minimized by accurately predicting signal strengths and reacting to it in real-time, the dynamic nature of wireless environments makes signal strengths highly unpredictable. In this paper, after analyzing in detail the signal strength variation and its impact on energy consumption, we propose to use crowdsourcing approach to optimize mobile devices’ energy efficiency by utilizing signal strength traces reported/shared by other users/devices in cellular networks. Via a comprehensive measurement study, we observe that signal strength traces collected from different devices are pseudo-identical, and they even exhibit similar threshold-based behaviors in the relationship between signal strength and device power consumption. Based on our observations, we propose a predictive scheduling algorithm that: (i) selects the right set of signal strength traces based on its location, (ii) applies a filter to smooth out signal strengths and hide abrupt changes, (iii) digitizes the signal strength to “good” and “bad” areas, and (iv) schedules transmissions based on power-throughput characteristics to optimize the transmission energy efficiency. To demonstrate the efficacy of the proposed algorithms, we prototype the crowdsourcing-based predicative scheduling algorithm on Android-based smartphones. Our experiment results from real-life driving tests demonstrate that, by leveraging others’ signal traces, mobile devices can save energy up to 35 percent compared to the conventional opportunistic scheduling, i.e., schedule transmissions only based on instantaneous channel conditions.","1558-0660","","10.1109/TMC.2014.2316517","Finnish funding agency for technology and innovation (Tekes) in Massive Scale Machine-to-Machine Service (MAMMotH)(grant numbers:Dnro 820/31/2011); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6786483","Energy consumption;network traffic scheduling;power control;prediction models;signal strength","Power demand;Throughput;Multiaccess communication;Spread spectrum communication;High definition video;Smart phones","","23","","32","IEEE","10 Apr 2014","","","IEEE","IEEE Journals"
