"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Multi-Lane Pothole Detection from Crowdsourced Undersampled Vehicle Sensor Data","A. Fox; B. V. K. V. Kumar; J. Chen; F. Bai","Department of Electrical and Computer Engineering, Carnegie Mellon University, Pittsburgh, PA; Department of Electrical and Computer Engineering, Carnegie Mellon University, Pittsburgh, PA; General Motors Corporation, Warren, MI; General Motors Corporation, Warren, MI",IEEE Transactions on Mobile Computing,"2 Nov 2017","2017","16","12","3417","3430","As smart vehicles have become more ubiquitous, the capability now exists to detect environmental road features (e.g., potholes, road incline angle, etc.) from their embedded sensor data. By aggregating data from multiple vehicles, crowdsourcing can be leveraged to detect environmental information with improved accuracy. We focus on using such data to detect and localize potholes on multi-lane roads. Extracting information from aggregated vehicle data is challenging due to undersampling sensors, sensor mobility, asynchronous sensor operation, sensor noise, vehicle and road heterogeneity, and GPS position error. GPS position error is particularly problematic in multi-lane environments since the position error is generally larger than standard lane widths. In this paper, we investigate these issues and develop a crowdsourced system to detect and localize potholes in multi-lane environments using accelerometer data from embedded vehicle sensors. Our crowdsourced system reduces the required network bandwidth by determining road incline and bank angle information in each vehicle to filter acceleration components that do not correspond to pothole conditions. We evaluate our system on simulated and real-world data, analyze tradeoffs in the number of vehicles and the amount of bandwidth required for accurate detection, and compare the results to the simpler single lane detection scenario.","1558-0660","","10.1109/TMC.2017.2690995","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7892000","Transportation;classifier design and evaluation;mobile environments;singular value decomposition;machine learning","Machine learning;Intelligent vehicles;Global Positioning System;Crowdsourcing;Feature extraction;Accelerometers;Bandwidth","","70","","41","IEEE","4 Apr 2017","","","IEEE","IEEE Journals"
"WAIPO: A Fusion-Based Collaborative Indoor Localization System on Smartphones","F. Gu; J. Niu; L. Duan","State Key Laboratory of Virtual Reality Technology and Systems, School of Computer Science and Engineering, Beihang University, Beijing, China; State Key Laboratory of Virtual Reality Technology and Systems, School of Computer Science and Engineering, Beihang University, Beijing, China; Engineering Systems and Design Pillar, Singapore University of Technology and Design, Singapore",IEEE/ACM Transactions on Networking,"16 Aug 2017","2017","25","4","2267","2280","Indoor localization based on smartphone can enhance user's experiences in indoor environments. Although some innovative solutions have been proposed in the past two decades, how to accurately and efficiently localize users in indoor environments is still a challenging problem. Traditional indoor positioning systems based on Wi-Fi fingerprints or dead reckoning suffer from the variation of Wi-Fi signals and the drift of dead reckoning problems, respectively. Crowdsourcing and ambient sensing stimulate new ways to improve existing localization systems' accuracy. Using human social factors to calibrate the accuracy of localization is practical and awarding. In this paper, we propose WAIPO, a collaborative indoor localization system with the fusion of Wi-Fi and magnetic fingerprints, image-matching, and people co-occurrence. Specifically, we could obtain the most likely top-n locations based on Wi-Fi fingerprints. We utilize the statistics of users' historical locations known by image-matching, for which we propose a photo-room matching algorithm, to reduce estimating areas. In order to further improve the accuracy of localization, we propose a co-occurrence and non-co-occurrence detection algorithm to detect users' spatial-temporal co-occurrence and determine users' locations with magnetic calibration. We have fully implemented WAIPO on the Android platform and perform testbed experiments. The experimental results demonstrate that WAIPO achieves an accuracy of 87.3% on average, which outperforms the state-of-the-art indoor localization systems.","1558-2566","","10.1109/TNET.2017.2680448","National Natural Science Foundation of China(grant numbers:61572060); 973 Program(grant numbers:2013CB035503); CERNET Innovation Project(grant numbers:NGII20151004,NGII20160316); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7888564","Indoor localization;Wi-Fi fingerprint;co-occurrence;photo-room matching;magnetic calibration","Wireless fidelity;Magnetometers;Magnetic resonance imaging;Smart phones;Sensors;Crowdsourcing;Databases","","65","","54","IEEE","28 Mar 2017","","","IEEE","IEEE Journals"
"Learning to Segment From Scribbles Using Multi-Scale Adversarial Attention Gates","G. Valvano; A. Leo; S. A. Tsaftaris","IMT School for Advanced Studies Lucca, Lucca, Italy; IMT School for Advanced Studies Lucca, Lucca, Italy; School of Engineering, University of Edinburgh, Edinburgh, U.K.",IEEE Transactions on Medical Imaging,"30 Jul 2021","2021","40","8","1990","2001","Large, fine-grained image segmentation datasets, annotated at pixel-level, are difficult to obtain, particularly in medical imaging, where annotations also require expert knowledge. Weakly-supervised learning can train models by relying on weaker forms of annotation, such as scribbles. Here, we learn to segment using scribble annotations in an adversarial game. With unpaired segmentation masks, we train a multi-scale GAN to generate realistic segmentation masks at multiple resolutions, while we use scribbles to learn their correct position in the image. Central to the model’s success is a novel attention gating mechanism, which we condition with adversarial signals to act as a shape prior, resulting in better object localization at multiple scales. Subject to adversarial conditioning, the segmentor learns attention maps that are semantic, suppress the noisy activations outside the objects, and reduce the vanishing gradient problem in the deeper layers of the segmentor. We evaluated our model on several medical (ACDC, LVSC, CHAOS) and non-medical (PPSS) datasets, and we report performance levels matching those achieved by models trained with fully annotated segmentation masks. We also demonstrate extensions in a variety of settings: semi-supervised learning; combining multiple scribble sources (a crowdsourcing scenario) and multi-task learning (combining scribble and mask supervision). We release expert-made scribble annotations for the ACDC dataset, and the code used for the experiments, at https://vios-s.github.io/multiscale-adversarial-attention-gates.","1558-254X","","10.1109/TMI.2021.3069634","Erasmus+ Programme of the European Union; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9389796","Weak supervision;scribbles;segmentation;GAN;attention;shape Priors","Image segmentation;Annotations;Shape;Training;Logic gates;Semantics;Gallium nitride","Attention;Humans;Image Processing, Computer-Assisted;Semantics;Supervised Machine Learning","60","","75","IEEE","30 Mar 2021","","","IEEE","IEEE Journals"
"Imbalanced Multiple Noisy Labeling","J. Zhang; X. Wu; V. S. Sheng","School of Computer Science and Information Engineering, Hefei University of Technology, 193 Tunxi Road, Hefei, China; School of Computer Science and Information Engineering, Hefei University of Technology, 193 Tunxi Road, Hefei, China; Department of Computer Science, University of Central Arkansas, Conway",IEEE Transactions on Knowledge and Data Engineering,"24 Dec 2014","2015","27","2","489","503","It can be easy to collect multiple noisy labels for the same object via Internet-based crowdsourcing systems. Labelers may have bias when labeling, due to lacking expertise, dedication, and personal preference. These cause Imbalanced Multiple Noisy Labeling. In most cases, we have no information about the labeling qualities of labelers and the underlying class distributions. It is important to design agnostic solutions to utilize these noisy labels for supervised learning. We first investigate how imbalanced multiple noisy labeling affects the class distributions of training sets and the performance of classification. Then, an agnostic algorithm Positive LAbel frequency Threshold (PLAT) is proposed to deal with the imbalanced labeling issue. Simulations on eight UCI data sets with different underlying class distributions show that PLAT not only effectively deals with the imbalanced multiple noisy labeling problems that off-the-shelf agnostic methods cannot cope with, but also performs nearly the same as majority voting under the circumstances without imbalance. We also apply PLAT to eight real-world data sets with imbalanced labels collected from Amazon Mechanical Turk, and the experimental results show that PLAT is efficient and better than other ground truth inference algorithms.","1558-2191","","10.1109/TKDE.2014.2327039","Changjiang Scholars and Innovative Research Team in University (PCSIRT) of the Ministry of Education, China(grant numbers:IRT13059); National 973 Program of China(grant numbers:2013CB329604); National 863 Program of China(grant numbers:2012AA011005); National Natural Science Foundation of China(grant numbers:61229301); US National Science Foundation(grant numbers:IIS-1115417); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6823124","Imbalanced noisy labeling;imbalanced learning;repeated labeling;crowdsourcing","Labeling;Noise measurement;Training;Educational institutions;Accuracy;Supervised learning","","60","","34","IEEE","29 May 2014","","","IEEE","IEEE Journals"
"Multi-Output Gaussian Processes for Crowdsourced Traffic Data Imputation","F. Rodrigues; K. Henrickson; F. C. Pereira","Technical University of Denmark, Kongens Lyngby, Denmark; University of Washington, Seattle, WA, USA; Technical University of Denmark, Kongens Lyngby, Denmark",IEEE Transactions on Intelligent Transportation Systems,"31 Jan 2019","2019","20","2","594","603","Traffic speed data imputation is a fundamental challenge for data-driven transport analysis. In recent years, with the ubiquity of GPS-enabled devices and the widespread use of crowdsourcing alternatives for the collection of traffic data, transportation professionals increasingly look to such user-generated data for a good deal of analysis, planning, and decision support applications. However, due to the mechanics of the data collection process, crowdsourced traffic data such as probe-vehicle data is highly prone to missing observations, making accurate imputation crucial for the success of any application that makes use of that type of data. In this paper, we propose the use of multi-output Gaussian processes (GPs) to model the complex spatial and temporal patterns in crowdsourced traffic data. While the Bayesian nonparametric formalism of GPs allows us to model observation uncertainty, the multi-output extension based on convolution processes effectively enables us to capture complex spatial dependencies between nearby road segments. Using six months of crowdsourced traffic speed data or “probe vehicle data” for several locations in Copenhagen, the proposed approach is empirically shown to significantly outperform popular state-of-the-art imputation methods.","1558-0016","","10.1109/TITS.2018.2817879","FP7 People: Marie-Curie Actions(grant numbers:609405); European Union’s Horizon 2020 Research and Innovation Program under Marie Sklodowska-Curie Individual Fellowship H2020-MSCA-IF-2016(grant numbers:745673); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8352762","Traffic data;imputation;missing data;Gaussian processes;multiple outputs;Bayesian inference;crowdsourced data","Gaussian processes;Data models;Uncertainty;Probes;Bayes methods;Roads;Predictive models","","57","","46","IEEE","30 Apr 2018","","","IEEE","IEEE Journals"
"A Crowdsource-Based Sensing System for Monitoring Fine-Grained Air Quality in Urban Environments","J. Huang; N. Duan; P. Ji; C. Ma; f. hu; Y. Ding; Y. Yu; Q. Zhou; W. Sun","Cogntive-IoT Team, IBM-Research China, Shanghai, China; Research and Development Department, Volkswagen Group China, Beijing, China; IBM-Research China, Shanghai, China; IBM-Research China, Shanghai, China; IBM-Research China, Shanghai, China; IBM-Research China, Shanghai, China; IBM-Research China, Shanghai, China; College of Computer Science, Zhejiang University of Technology, Hangzhou, China; Research and Development Department, Volkswagen Group China, Beijing, China",IEEE Internet of Things Journal,"8 May 2019","2019","6","2","3240","3247","Nowadays more and more urban residents are aware of the importance of the air quality to their health, especially who are living in the large cities that are seriously threatened by air pollution. Meanwhile, being limited by the spare sense nodes, the air quality information is very coarse in resolution, which brings urgent demands for high-resolution air quality data acquisition. In this paper, we refer the real-time and fine-gained air quality data in city-scale by employing the crowdsource automobiles as well as their built-in sensors, which significantly improves the sensing system's feasibility and practicability. The main idea of this paper is motivated by that the air component concentration within a vehicle is very similar to that of its nearby environment when the vehicle's windows are open, given the fact that the air will exchange between the inside and outside of the vehicle though the opening window. Therefore, this paper first develops an intelligent algorithm to detect vehicular air exchange state, then extracts the concentration of pollutant in the condition that the concentration trend is convergent after opening the windows, finally, the sensed convergent value is denoted as the equivalent air quality level of the surrounding environment. Based on our Internet of Things cloud platform, real-time air quality data streams from all over the city are collected and analyzed in our data center, and then a fine-gained city level air quality map can be exhibited elaborately. In order to demonstrate the effective- ness of the proposed method, experiments crowdsourcing 500 floating vehicles are conducted in Beijing city for three months to ubiquitously sample the air quality data. Evaluations of the algorithm's performance in comparison with the ground truth indicate the proposed system is practical for collecting air quality data in urban environments.","2327-4662","","10.1109/JIOT.2018.2881240","National Natural Science Foundation of China(grant numbers:61802347); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8534351","Air exchange state;air quality;crowdsource sensing;urban environments;vehicle networking","Urban areas;Sensors;Air pollution;Monitoring;Internet of Things","","55","","26","IEEE","14 Nov 2018","","","IEEE","IEEE Journals"
"Incentive Mechanisms for Crowdblocking Rumors in Mobile Social Networks","Y. Lin; Z. Cai; X. Wang; F. Hao","School of Computer Science, Shaanxi Normal University, Xi’an, China; Department of Computer Science, Georgia State University, Atlanta, GA, USA; School of Computer Science, Shaanxi Normal University, Xi’an, China; School of Computer Science, Shaanxi Normal University, Xi’an, China",IEEE Transactions on Vehicular Technology,"17 Sep 2019","2019","68","9","9220","9232","Mobile social networks (MSNs) have become an indispensable way for people to access information, express emotions, and communicate with each other. However, the advent and extensive use of MSNs has also created fertile soil for the breeding and rapid spread of rumors. Therefore, blocking the spread of rumors in MSNs has always been a hot topic in this field. With the idea of crowdsourcing, we propose a novel rumor control framework, called Crowdblocking, in which users can implement control schemes in a collaborative and distributed way, so that the rumors can be controlled more effectively. With the proposed framework, the main problem that arises is how to motivate more users to actively participate in rumor blocking activities. To this end, we design two effective incentive mechanisms in this paper. First, we propose an incentive mechanism based on the Stackelberg game for homogeneous control tasks. We theoretically analyze the Stackelberg equilibrium to maximize the utility of the network manager and users involved in blocking rumor tasks, and ensure that no user can improve its own utility by unilaterally changing the current strategy. Second, for heterogeneous control tasks, we design a real-time reverse auction incentive mechanism, which allows users to have more autonomy and freely customize their own plans to participate in control tasks. Also, we prove that the mechanism possesses the desired properties of task timeliness, computational efficiency, user rationality, manager profitability, and price truthfulness. Finally, we validate the efficiency of the proposed mechanisms through extensive simulation experiments on the real datasets.","1939-9359","","10.1109/TVT.2019.2930667","National Natural Science Foundation of China(grant numbers:61872228,61877037,61702317,61601273,61602289); National Science Foundation(grant numbers:1704287); Fundamental Research Funds; Central Universities of China(grant numbers:2017TS046,GK201803081); Scholarship of China Scholarship Council(grant numbers:201806870045); Natural Science Basic Research Plan in Shaanxi Province of China(grant numbers:2019JM-379); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8771125","Mobile social networks;rumor blocking;incentive;auction;Stackelberg game","Task analysis;Social networking (online);Optimal control;Real-time systems;Games;Computational modeling;Vehicle dynamics","","54","","44","IEEE","24 Jul 2019","","","IEEE","IEEE Journals"
"A Generic Deep Learning Based Cough Analysis System From Clinically Validated Samples for Point-of-Need Covid-19 Test and Severity Levels","J. Andreu-Perez; H. Pérez-Espinosa; E. Timonet; M. Kiani; M. I. Girón-Pérez; A. B. Benitez-Trinidad; D. Jarchi; A. Rosales-Pérez; N. Gatzoulis; O. F. Reyes-Galaviz; A. Torres-García; C. A. Reyes-García; Z. Ali; F. Rivas","School of Computer Science and Electronic Engineering, Faculty of Science and Health, University of Essex, Colchester, U.K.; School of Computer Science and Electronic Engineering, Faculty of Science and Health, University of Essex, Colchester, U.K.; Agencia Sanitaria Costa del Sol, Junta de Andalucia Consejeria de Salud, Seville, Spain; School of Computer Science and Electronic Engineering, Faculty of Science and Health, University of Essex, Colchester, U.K.; Autonomous University of Nayarit, Tepic, Mexico; Autonomous University of Nayarit, Tepic, Mexico; School of Computer Science and Electronic Engineering, Faculty of Science and Health, University of Essex, Colchester, U.K.; Centro de Investigación en Matemáticas, A.C. (CIMAT), Guanajuato, Mexico; School of Computer Science and Electronic Engineering, Faculty of Science and Health, University of Essex, Colchester, U.K.; INAOE, Puebla, Mexico; INAOE, Puebla, Mexico; INAOE, Puebla, Mexico; School of Computer Science and Electronic Engineering, Faculty of Science and Health, University of Essex, Colchester, U.K.; Agencia Sanitaria Costa del Sol, Junta de Andalucia Consejeria de Salud, Seville, Spain",IEEE Transactions on Services Computing,"17 Jun 2022","2022","15","3","1220","1232","In an attempt to reduce the infection rate of the COrona VIrus Disease-19 (Covid-19) countries around the world have echoed the exigency for an economical, accessible, point-of-need diagnostic test to identify Covid-19 carriers so that they (individuals who test positive) can be advised to self isolate rather than the entire community. Availability of a quick turn-around time diagnostic test would essentially mean that life, in general, can return to normality-at-large. In this regards, studies concurrent in time with ours have investigated different respiratory sounds, including cough, to recognise potential Covid-19 carriers. However, these studies lack clinical control and rely on Internet users confirming their test results in a web questionnaire (crowdsourcing) thus rendering their analysis inadequate. We seek to evaluate the detection performance of a primary screening tool of Covid-19 solely based on the cough sound from 8,380 clinically validated samples with laboratory molecular-test (2,339 Covid-19 positive and 6,041 Covid-19 negative) under quantitative RT-PCR (qRT-PCR) from certified laboratories. All collected samples were clinically labelled, i.e., Covid-19 positive or negative, according to the results in addition to the disease severity based on the qRT-PCR threshold cycle (Ct) and lymphocytes count from the patients. Our proposed generic method is an algorithm based on Empirical Mode Decomposition (EMD) for cough sound detection with subsequent classification based on a tensor of audio sonographs and deep artificial neural network classifier with convolutional layers called ‘DeepCough’. Two different versions of DeepCough based on the number of tensor dimensions, i.e., DeepCough2D and DeepCough3D, have been investigated. These methods have been deployed in a multi-platform prototype web-app ‘CoughDetect’. Covid-19 recognition results rates achieved a promising AUC (Area Under Curve) of $98.80\% \pm 0.83\%$98.80%±0.83%, sensitivity of $96.43\% \pm 1.85\%$96.43%±1.85%, and specificity of $96.20\% \pm 1.74\%$96.20%±1.74% and average AUC of $81.08\% \pm 5.05\%$81.08%±5.05% for the recognition of three severity levels. Our proposed web tool as a point-of-need primary diagnostic test for Covid-19 facilitates the rapid detection of the infection. We believe it has the potential to significantly hamper the Covid-19 pandemic across the world.","1939-1374","","10.1109/TSC.2021.3061402","Economic and Social Research Council(grant numbers:ES/T501815/1); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9361107","Deep Learning;audio systems;smart healthcare","COVID-19;Diseases;Pandemics;Viruses (medical);Deep learning;Tensors;X-ray imaging;Biomedical imaging;Rendering (computer graphics);Crowdsourcing;Empirical mode decomposition;Image edge detection;Point of care;Lungs","","54","","45","IEEE","23 Feb 2021","","","IEEE","IEEE Journals"
"HodgeRank on Random Graphs for Subjective Video Quality Assessment","Q. Xu; Q. Huang; T. Jiang; B. Yan; W. Lin; Y. Yao","Chinese Academy of Sciences, Beijing, China; Key Laboratory of Intelligent Information Processing, Institute of Computing Technology, Chinese Academy of Sciences, Beijing, China; National Engineering Laboratory for Video Technology, Key Laboratory of Machine Perception (MoE), School of EECS, Peking University, Beijing, China; School of Mathematical Sciences, Peking University, Beijing, China; School of Computer Engineering, Nanyang Technological University, Nanyang, Singapore; School of Mathematical Sciences, LMAM and LMP, Peking University, Beijing, China",IEEE Transactions on Multimedia,"11 May 2012","2012","14","3","844","857","This paper introduces a novel framework, HodgeRank on Random Graphs, based on paired comparison, for subjective video quality assessment. Two types of random graph models are studied, i.e., Erdös-Rényi random graphs and random regular graphs. Hodge decomposition of paired comparison data may derive, from incomplete and imbalanced data, quality scores of videos and inconsistency of participants' judgments. We demonstrate the effectiveness of the proposed framework on LIVE video database. Both of the two random designs are promising sampling methods without jeopardizing the accuracy of the results. In particular, due to balanced sampling, random regular graphs may achieve better performances when sampling rates are small. However, when the number of videos is large or when sampling rates are large, their performances are so close that Erdös-Rényi random graphs, as the simplest independent and identically distributed sampling scheme, could provide good approximations to random regular graphs, as a dependent sampling scheme. In contrast to the traditional deterministic incomplete block designs, our random design is not only suitable for traditional laboratory studies, but also for crowdsourcing experiments on Internet where the raters are distributive and it is hard to control with fixed designs.","1941-0077","","10.1109/TMM.2012.2190924","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6170000","Hodgerank;paired comparison;persistence homology;random graphs;video quality assessment (VQA)","Educational institutions;Quality assessment;Electronic mail;Data models;Internet;Laplace equations;Materials","","51","","40","IEEE","14 Mar 2012","","","IEEE","IEEE Journals"
"Robust Neighborhood Graphing for Semi-Supervised Indoor Localization With Light-Loaded Location Fingerprinting","M. Zhou; Y. Tang; Z. Tian; L. Xie; W. Nie","Chongqing Key Laboratory of Mobile Communications Technology, Chongqing University of Posts and Telecommunications, Chongqing, China; Chongqing Key Laboratory of Mobile Communications Technology, Chongqing University of Posts and Telecommunications, Chongqing, China; Chongqing Key Laboratory of Mobile Communications Technology, Chongqing University of Posts and Telecommunications, Chongqing, China; Chongqing Key Laboratory of Mobile Communications Technology, Chongqing University of Posts and Telecommunications, Chongqing, China; Chongqing Key Laboratory of Mobile Communications Technology, Chongqing University of Posts and Telecommunications, Chongqing, China",IEEE Internet of Things Journal,"14 Nov 2018","2018","5","5","3378","3387","The indoor localization systems based on wireless local area network received signal strength (RSS) have been widely applied due to the simplicity of system deployment as well as easy implementation on various mobile devices like the smartphones. However, they are often suffered by the major drawback of the extensive effort for location fingerprinting which is significantly labor-intensive and time-consuming. In response to this compelling problem, we design an improved manifold alignment approach to construct a cost-efficient radio map which consists of the sparsely collected location fingerprints and crowdsourcing RSS data with the purpose of reducing the overall fingerprints calibration effort. A new graph construction scheme which is proved to be the optimal choice to model the smoothness assumption in semi-supervised learning is proposed to explore the informativeness conveyed by location fingerprints during the process of radio map construction. In addition, the concept of execution characteristic function is considered to minimize the RSS sample capacity at each reference point to reduce fingerprints calibration effort further. Finally, the extensive experimental results demonstrate the performance improvement by the proposed system with the probability of localization errors within 3 m, 79.60%, which is at most 26.30 percentages higher than the one by the existing systems using location fingerprints solely.","2327-4662","","10.1109/JIOT.2017.2775199","National Natural Science Foundation of China(grant numbers:61771083,61704015); Program for Changjiang Scholars and Innovative Research Team in University(grant numbers:IRT1299); Special Fund of Chongqing Key Laboratory, Fundamental and Frontier Research Project of Chongqing(grant numbers:cstc2017jcyjAX0380,cstc2015jcyjBX0065); University Outstanding Achievement Transformation Project of Chongqing(grant numbers:KJZH17117); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8115100","Execution characteristic function (ECF);indoor localization;manifold alignment;radio map;semi-supervised learning","Manifolds;Wireless LAN;Semisupervised learning;Crowdsourcing;Linear programming;Internet of Things;Indoor environments","","51","","48","IEEE","20 Nov 2017","","","IEEE","IEEE Journals"
