"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Deep Learning-Based Large-Scale Automatic Satellite Crosswalk Classification","R. F. Berriel; A. T. Lopes; A. F. de Souza; T. Oliveira-Santos","Universidade Federal do Espirito Santo, Vitória, Brazil; Universidade Federal do Espirito Santo, Vitória, Brazil; Universidade Federal do Espirito Santo, Vitória, Brazil; Universidade Federal do Espirito Santo, Vitória, Brazil",IEEE Geoscience and Remote Sensing Letters,"25 Aug 2017","2017","14","9","1513","1517","High-resolution satellite imagery has been increasingly used on remote sensing classification problems. One of the main factors is the availability of this kind of data. Despite the high availability, very little effort has been placed on the zebra crossing classification problem. In this letter, crowdsourcing systems are exploited in order to enable the automatic acquisition and annotation of a large-scale satellite imagery database for crosswalks related tasks. Then, this data set is used to train deep-learning-based models in order to accurately classify satellite images that contain or not contain zebra crossings. A novel data set with more than 240000 images from 3 continents, 9 countries, and more than 20 cities was used in the experiments. The experimental results showed that freely available crowdsourcing data can be used to accurately (97.11%) train robust models to perform crosswalk classification on a global scale.","1558-0571","","10.1109/LGRS.2017.2719863","UFES; CAPES for the scholarships; CNPq(grant numbers:311120/2016-4); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7979607","Crosswalk classification;deep learning;large-scale satellite imagery;zebra crossing classification","Satellites;Google;Urban areas;Training;Data models;Continents;Roads","","44","","12","IEEE","13 Jul 2017","","","IEEE","IEEE Journals"
"The MatchNMingle Dataset: A Novel Multi-Sensor Resource for the Analysis of Social Interactions and Group Dynamics In-the-Wild During Free-Standing Conversations and Speed Dates","L. Cabrera-Quiros; A. Demetriou; E. Gedik; L. van der Meij; H. Hung","Department of Intelligent Systems, TU Delft, Delft, The Netherlands; Department of Intelligent Systems, TU Delft, Delft, The Netherlands; Department of Intelligent Systems, TU Delft, Delft, The Netherlands; Eindhoven University of Technology, Eindhoven, Netherlands; Department of Intelligent Systems, TU Delft, Delft, The Netherlands",IEEE Transactions on Affective Computing,"26 Feb 2021","2021","12","1","113","130","We present MatchNMingle, a novel multimodal/multisensor dataset for the analysis of free-standing conversational groups and speed-dates in-the-wild. MatchNMingle leverages the use of wearable devices and overhead cameras to record social interactions of 92 people during real-life speed-dates, followed by a cocktail party. To our knowledge, MatchNMingle has the largest number of participants, longest recording time and largest set of manual annotations for social actions available in this context in a real-life scenario. It consists of 2 hours of data from wearable acceleration, binary proximity, video, audio, personality surveys, frontal pictures and speed-date responses. Participants’ positions and group formations were manually annotated; as were social actions (eg. speaking, hand gesture) for 30 minutes at 20 FPS making it the first dataset to incorporate the annotation of such cues in this context. We present an empirical analysis of the performance of crowdsourcing workers against trained annotators in simple and complex annotation tasks, founding that although efficient for simple tasks, using crowdsourcing workers for more complex tasks like social action annotation led to additional overhead and poor inter-annotator agreement compared to trained annotators (differences up to 0.4 in Fleiss’ Kappa coefficients). We also provide example experiments of how MatchNMingle can be used.","1949-3045","","10.1109/TAFFC.2018.2848914","Dutch national program COMMIT; Instituto Tecnológico de Costa Rica; Netherlands Organization for Scientific Research(grant numbers:639.022.606); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8395003","Multimodal dataset;speed-dates;mingle;f-formation;wearable acceleration;cameras;personality traits","Cameras;Manuals;Acceleration;Crowdsourcing;Task analysis;Sensors;Computers","","36","","70","IEEE","25 Jun 2018","","","IEEE","IEEE Journals"
"Human Localization Using Multi-Source Heterogeneous Data in Indoor Environments","Y. Sun; W. Meng; C. Li; N. Zhao; K. Zhao; N. Zhang","School of Computer Science and Technology, Nanjing Tech University, Nanjing, China; School of Electronics and Information Engineering, Harbin Institute of Technology, Harbin, China; Department of Electrical and Computer Engineering, Faculty of Engineering and Applied Science, Memorial University, St. John’s, NL, Canada; School of Information and Communication Engineering, Dalian University of Technology, Dalian, China; School of Electronic Science and Engineering, Nanjing University, Nanjing, China; School of Electronics and Information Engineering, Harbin Institute of Technology, Harbin, China",IEEE Access,"20 May 2017","2017","5","","812","822","A human localization system using multi-source heterogeneous data in indoor environments is proposed in this paper. The system can be easily constructed with already deployed Wi-Fi and camera infrastructures and is able to make use of received signal strength samples, surveillance images, and room map information to achieve a comparable performance. In a corridor scenario, we optimize propagation model (PM) parameters with crowdsourcing data from only several locations and establish a data table of optimized parameters for trilateration localization. These crowdsourcing data are also used to correct trilateration localization results, through which localization performance can be greatly improved. In a room scenario, we locate a human object with a panoramic camera and room map. We first detect the human object on the observed image and search a pixel location that represents the object's location best. Then, the pixel location on the image is mapped to the room map using an artificial neural network. By this method, localization accuracy of sub-meter level can be obtained. We perform the proposed system in our experimental environment, and the experimental results show that our localization system not only requires no extensive time and labor cost, but also outperforms fingerprinting and PM localization systems.","2169-3536","","10.1109/ACCESS.2017.2650953","Natural Science Foundation of the Jiangsu Higher Education Institutions of China(grant numbers:16KJB510014); Scientific Research Startup Foundation of Nanjing Tech University(grant numbers:39809106); Natural Sciences and Engineering Research Council (NSERC) of Canada (Discovery Grant)(grant numbers:293264-12); RDC SensorTECH Project(grant numbers:5404-2061-101); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7812597","Indoor localization;propagation model optimization;coordinate correction;object detection;location mapping","Crowdsourcing;Cameras;IEEE 802.11 Standard;Indoor environments;Surveillance;Indoor localization;Object detection","","35","","31","OAPA","10 Jan 2017","","","IEEE","IEEE Journals"
"Progressive or Conservative: Rationally Allocate Cooperative Work in Mobile Social Networks","W. Chang; J. Wu","Department of Computer and Information Sciences, Temple University, Philadelphia, PA; Department of Computer and Information Sciences, Temple University, Philadelphia, PA",IEEE Transactions on Parallel and Distributed Systems,"10 Jun 2015","2015","26","7","2020","2035","There are plenty of idle computational resources on the Internet, which could potentially be used for accomplishing huge tasks. More and more applications are being designed for exploring those idle resources. In this paper, we focus on the idle computational resources, including both human intelligence and machine computing abilities, in mobile social networks (MSNs). Based on the unique features of MSN, we design a new cooperative system, called social-crowdsourcing. The distributed and infrastructure-free features of the system make it more attractive than traditional crowdsourcing platforms. In the proposed system, a huge work is gradually partitioned into smaller pieces, and is propagated from node to node. However, how to partition and allocate these segments is a critical problem, which directly affects the work’s completion time and system throughput. Due to the lack of global information, independent relay nodes are likely to make conflicted decisions, which will cause an unbalanced workload distribution on participating nodes. In this paper, we find that, for a work at different processing stages, one should adopt distinct workload exchanging schemes, moving from a progressive method to a conservative one. Based on this observation, we propose an adaptive workload allocation scheme, in which a participating node can gradually switch his decision strategy according to the workload statuses of neighboring nodes. By using our approach, system throughput can be significantly improved, and large works can finish within a nearly optimal time. Unlike in traditional scheduling problems, we take a human’s rejection, contact delay, and social similarity into consideration. Extensive simulation results show that our proposed algorithms can successfully make full use of the idle resources in MSNs.","1558-2183","","10.1109/TPDS.2014.2330298","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6846357","Mobile social networks;outsourcing;potential resource;social-crowdsourcing;work partition","Silicon;Crowdsourcing;Resource management;Relays;Mobile communication;Estimation","","32","","25","IEEE","30 Jun 2014","","","IEEE","IEEE Journals"
"Privacy-Aware High-Quality Map Generation with Participatory Sensing","X. Chen; X. Wu; X. -Y. Li; X. Ji; Y. He; Y. Liu","School of Software and TNLIST, Tsinghua University, China; School of Software and TNLIST, Tsinghua University, China; School of Software and TNLIST, Tsinghua University, China; Department of Computer Science, HKUST, Hong Kong; School of Software and TNLIST, Tsinghua University, China; School of Software and TNLIST, Tsinghua University, China",IEEE Transactions on Mobile Computing,"3 Feb 2016","2016","15","3","719","732","Accurate maps are increasingly important with the growth of smart phones and the development of location-based services. Several crowdsourcing based map generation protocols that rely on users to provide their traces have been proposed. Being creative, however, those methods pose a significant threat to user privacy as the traces can easily imply user behavior patterns. On the flip side, crowdsourcing-based map generation method does need individual locations. To address the issue, we present a systematic participatory-sensing-based high-quality map generation scheme, PMG, that meets the privacy demand of individual users. To be specific, the individual users merely need to upload unorganized sparse location points to reduce the risk of exposing users’ traces and utilize the  Crust, a technique from computational geometry for curve reconstruction, to estimate the unobserved map as well as evaluate the degree of privacy leakage. Experiments show that our solution is able to generate high-quality maps for a real environment that is robust to noisy data. The difference between the ground-truth map and the produced map is less than 10 m, even when the collected locations are about 32 m apart after clustering for the purpose of removing noise.","1558-0660","","10.1109/TMC.2015.2421946","NSFC(grant numbers:61190110); NSFC(grant numbers:61170213,61170220,61373146); NSFC\RGC Joint Research(grant numbers:61361166009); RFDP(grant numbers:20121018430); Excellent Young Scientist(grant numbers:61422207); Guangxi Key Lab of Wireless Wideband Communication & Signal Processing; National Science Foundation(grant numbers:CNS-1035894); NSF(grant numbers:ECCS-1247944); NSF(grant numbers:ECCS-1343306); NSF(grant numbers:CMMI-1436786); NSFC(grant numbers:61170216,61228202,61373146); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7084117","privacy protection;map generation;curve reconstruction;data suppression;participatory sensing;Privacy protection;map generation;curve reconstruction;data suppression;participatory sensing","Privacy;Global Positioning System;Servers;Sensors;Mobile computing;Roads;Measurement","","31","","46","IEEE","10 Apr 2015","","","IEEE","IEEE Journals"
"A Framework for Fusion of Human Sensor and Physical Sensor Data","P. -H. Tsai; Y. -J. Lin; Y. -Z. Ou; E. T. . -H. Chu; J. W. S. Liu","Institute of Manufacturing Information and Systems, National Cheng Kung University, Tainan City, Taiwan; Institute of Manufacturing Information and Systems, National Cheng Kung University, Tainan City, Taiwan; Institute of Information Science and Center for Information Technology Innovation, Academia Sinica, Taipei, Taiwan; Department of Computer Science and Information Engineering, National Yunlin University of Science and Technology, Yunlin, Taiwan; Institute of Information Science and Center for Information Technology Innovation, Academia Sinica, Taipei, Taiwan","IEEE Transactions on Systems, Man, and Cybernetics: Systems","20 May 2017","2014","44","9","1248","1261","Many disaster warning and response systems can improve their surveillance coverage of the threatened area by supplementing in situ and remote physical sensor data with crowdsourced human sensor data captured and sent by people in the area. This paper presents fusion methods which enable a crowdsourcing enhanced system to use human sensor data and physical sensor data synergistically to improve its sensor coverage and the quality of its decisions. The methods are built on results of classical statistical detection and estimation theory and use value fusion and decision fusion of human sensor data and physical sensor data in a coherent way. They are the building blocks of a central fusion unit in a crowdsourcing support system for disaster surveillance and early warning applications.","2168-2232","","10.1109/TSMC.2014.2309090","Open Information Systems for Disaster Management (OpenISDM) in the Sustainability Research Program of Academia Sinica, Taiwan; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6811188","Crowdsourcing;multiple sensor fusion;statistical detection and estimation;Crowdsourcing;multiple sensor fusion;statistical detection and estimation","Surveillance;Cameras;Estimation;Temperature measurement;Data mining;Alarm systems;Standards","","28","","43","IEEE","7 May 2014","","","IEEE","IEEE Journals"
"Max-Margin Majority Voting for Learning from Crowds","T. Tian; J. Zhu; Y. Qiaoben","Department of Computer Science and Technology, Tsinghua University, Beijing, China; Department of Computer Science and Technology, Tsinghua University, Beijing, China; Department of Computer Science and Technology, Tsinghua University, Beijing, China",IEEE Transactions on Pattern Analysis and Machine Intelligence,"4 Sep 2019","2019","41","10","2480","2494","Learning-from-crowds aims to design proper aggregation strategies to infer the unknown true labels from the noisy labels provided by ordinary web workers. This paper presents max-margin majority voting (M$^3$3V) to improve the discriminative ability of majority voting and further presents a Bayesian generalization to incorporate the flexibility of generative methods on modeling noisy observations with worker confusion matrices for different application settings. We first introduce the crowdsourcing margin of majority voting, then we formulate the joint learning as a regularized Bayesian inference (RegBayes) problem, where the posterior regularization is derived by maximizing the margin between the aggregated score of a potential true label and that of any alternative label. Our Bayesian model naturally covers the Dawid-Skene estimator and M$^3$3V as its two special cases. Due to the flexibility of our model, we extend it to handle crowdsourced labels with an ordinal structure with the main ideas about the crowdsourcing margin unchanged. Moreover, we consider an online learning-from-crowds setting where labels coming in a stream. Empirical results demonstrate that our methods are competitive, often achieving better results than state-of-the-art estimators.","1939-3539","","10.1109/TPAMI.2018.2860987","National Natural Science Foundation of China(grant numbers:61620106010,61621136008,61332007); Beijing NSF(grant numbers:L172037); MIIT Grant of Int. Man. Comp. Stan(grant numbers:2016ZXFB00001); Youth Top-notch Talent Support Program; Tiangong Institute for Intelligent Computing; Nvidia; Siemens; Intel Corporation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8423686","Max-margin learning;crowdsourcing;online learning;regularized Bayesian inference","Task analysis;Bayes methods;Crowdsourcing;Noise measurement;Labeling;Maximum likelihood estimation","","27","","45","IEEE","31 Jul 2018","","","IEEE","IEEE Journals"
"Verifiable and Privacy-Preserving Traffic Flow Statistics for Advanced Traffic Management Systems","C. Zhang; L. Zhu; J. Ni; C. Huang; X. Shen","Beijing Engineering Research Center of Massive Language Information Processing and Cloud Computing Application, School of Computer Science and Technology, Beijing Institute of Technology, Beijing, China; Beijing Engineering Research Center of Massive Language Information Processing and Cloud Computing Application, School of Computer Science and Technology, Beijing Institute of Technology, Beijing, China; Department of Electrical and Computer Engineering, Queens University, Kingston, ON, Canada; Department of Electrical and Computer Engineering, University of Waterloo, Waterloo, ON, Canada; Department of Electrical and Computer Engineering, University of Waterloo, Waterloo, ON, Canada",IEEE Transactions on Vehicular Technology,"13 Oct 2020","2020","69","9","10336","10347","Crowdsourcing-based traffic monitoring plays an important role in advanced traffic management systems due to its high accuracy and low costs, but it may expose drivers real identities and sensitive locations that results in the privacy leakage of drivers. In this paper, we propose a crowdsourcing-based traffic monitoring scheme that enables a transportation management center (TMC) to achieve traffic flow statistics at road intersections in an efficient, verifiable, and privacy-preserving manner. Specifically, by integrating a homomorphic encryption primitive and a super-increasing sequence, traffic flow can be flexibly structured and encrypted by drivers, i.e., each drivers travel direction at T-junctions or crossroads is protected. As a middle-ware between drivers and TMC, roadside units (RSUs) are introduced to aggregate and further perturb the aggregated encrypted traffic flow based on a differential privacy mechanism. In this way, TMC is capable of acquiring the traffic flow statistics by decrypting the perturbed encrypted traffic flow, without disclosing each individual drivers traffic information. In addition, based on a lightweight commitment proof, the correctness of the encrypted drivers data can be guaranteed, i.e., a selfish driver cannot arbitrarily manipulate his data to poison the aggregated traffic flow. Finally, security analysis demonstrates that the proposed scheme satisfies all desirable security properties, including confidentiality, verifiability, unlinkability, and traceability. Extensive simulations are also conducted to show that the proposed scheme is efficient in terms of low computation and communication costs.","1939-9359","","10.1109/TVT.2020.3005363","National Natural Science Foundation of China(grant numbers:61272512,61402037); Natural Sciences and Engineering Research Council of Canada; China Scholarship Council; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9127838","Efficiency;privacy;traffic management;traffic flow statistics;verifiability","Vehicles;Privacy;Roads;Encryption;Monitoring","","27","","40","IEEE","29 Jun 2020","","","IEEE","IEEE Journals"
"In Pursuit of Beauty: Aesthetic-Aware and Context-Adaptive Photo Selection in Crowdsensing","T. Zhou; Z. Cai; F. Liu; J. Su","College of Computer, National University of Defense Technology, Hunan, China; College of Computer, National University of Defense Technology, Hunan, China; School of Design, Hunan University, Changsha, Hunan, China; College of Computer, National University of Defense Technology, Hunan, China",IEEE Transactions on Knowledge and Data Engineering,"7 Aug 2023","2023","35","9","9364","9377","The pervasive view of the mobile crowd bridges various real-world scenes and people's perceptions with the gathering of distributed crowdsensing photos. To elaborate informative visuals for viewers, existing techniques introduce photo selection as an essential step in crowdsensing. Yet, the aesthetic preference of viewers, at the very heart of their experiences under various crowdsensing contexts (e.g., travel planning), is seldom considered and hardly guaranteed. We propose CrowdPicker, a novel photo selection framework with adaptive aesthetic awareness for crowdsensing. With the observations on aesthetic uncertainty and bias in different crowdsensing contexts, we exploit a joint effort of mobile crowdsourcing and domain adaptation to actively learn contextual knowledge for dynamically tailoring the aesthetic predictor. Concretely, an aesthetic utility measure is invented based on the probabilistic balance formalization to quantify the benefit of photos in improving the adaptation performance. We prove the NP-hardness of sampling the best-utility photos for crowdsourcing annotation and present a (1-1/e) approximate solution. Furthermore, a two-stage distillation-based adaptation architecture is designed based on fusing contextual and common aesthetic preferences. Extensive experiments on three datasets and four raw models demonstrate the performance superiority of CrowdPicker over four photo selection baselines and four typical sampling strategies. Cross-dataset evaluation illustrates the impacts of aesthetic bias on selection.","1558-2191","","10.1109/TKDE.2023.3237969","National Natural Science Foundation of China(grant numbers:62102425,62072465,62172155,U22B2005); Science and Technology Innovation Program of Hunan Province(grant numbers:2021RC2071,2022RC3061); Natural Science Foundation of Hunan Province(grant numbers:2022JJ40564,2022JJ30667); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10025559","Computer vision;crowdsourcing;image analysis;mobile computing;transfer learning","Crowdsensing;Adaptation models;Task analysis;Visualization;Annotations;Uncertainty;Feature extraction","","26","","60","IEEE","24 Jan 2023","","","IEEE","IEEE Journals"
"A Reliable Methodology to Collect Ground Truth Data of Image Aesthetic Appeal","E. Siahaan; A. Hanjalic; J. Redi","Multimedia Computing Group, Intelligent Systems Department, Delft University of Technology, Delft, The Netherlands; Multimedia Computing Group, Intelligent Systems Department, Delft University of Technology, Delft, The Netherlands; Multimedia Computing Group, Intelligent Systems Department, Delft University of Technology, Delft, The Netherlands",IEEE Transactions on Multimedia,"15 Jun 2016","2016","18","7","1338","1350","Recognizing what makes an image aesthetically pleasing is crucial to the effectiveness of many multimedia systems. Several works have attempted to build image aesthetic appeal predictors, and created their own set of ground truth data for the purpose, either by using rated images from photo sharing websites, or by asking a pool of users to rate images in lab or crowdsourcing experiments. Literature has shown that the way these experiments are conducted can influence their results: poor experimental setup can result in poorly reliable outcomes (i.e., highly imprecise aesthetic appeal measures). A question then arises whether the different choices made to collect ground truth of aesthetic appeal data are appropriate. In this paper, we propose a systematic study that looks into how different experimental environments and rating scales used to collect image aesthetic appeal ground truth data influence the reliability and repeatability of aesthetic appeal assessments. Our findings show that discrete and continuous scales with five-point absolute category rating labels yield more reliable results, with the continuous scale being more reliable for abstract images. We also show that image aesthetic appeal assessments could be repeatable across different experimental environments (i.e., lab and crowdsourcing). We finally formulate concrete recommendations to guide the collection of large sets of ground truth data for training models of aesthetic appeal appreciation.","1941-0077","","10.1109/TMM.2016.2559942","Netherlands Organisation for Scientific Research (NWO)(grant numbers:639.021.230); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7460955","image aesthetic appeal;subjective quality assessment;Quality of Experience (QoE);crowdsourcing,;computational aesthetics;Computational aesthetics;crowdsourcing;image aesthetic appeal;quality of experience (QoE);subjective quality assessment","Reliability;Crowdsourcing;Visualization;Quality assessment;Media;Multimedia systems;Image recognition","","25","","50","IEEE","27 Apr 2016","","","IEEE","IEEE Journals"
