"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Shading Annotations in the Wild","B. Kovacs; S. Bell; N. Snavely; K. Bala",Cornell University; Cornell University; Cornell University; Cornell University,2017 IEEE Conference on Computer Vision and Pattern Recognition (CVPR),"9 Nov 2017","2017","","","850","859","Understanding shading effects in images is critical for a variety of vision and graphics problems, including intrinsic image decomposition, shadow removal, image relighting, and inverse rendering. As is the case with other vision tasks, machine learning is a promising approach to understanding shading - but there is little ground truth shading data available for real-world images. We introduce Shading Annotations in the Wild (SAW), a new large-scale, public dataset of shading annotations in indoor scenes, comprised of multiple forms of shading judgments obtained via crowdsourcing, along with shading annotations automatically generated from RGB-D imagery. We use this data to train a convolutional neural network to predict per-pixel shading information in an image. We demonstrate the value of our data and network in an application to intrinsic images, where we can reduce decomposition artifacts produced by existing algorithms. Our database is available at http://opensurfaces.cs.cornell.edu/saw.","1063-6919","978-1-5386-0457-1","10.1109/CVPR.2017.97","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8099580","","Lighting;Shape;Image decomposition;Surface treatment;Image color analysis;Surface acoustic waves","","46","","38","IEEE","9 Nov 2017","","","IEEE","IEEE Conferences"
"AI4MARS: A Dataset for Terrain-Aware Autonomous Driving on Mars","R. M. Swan; D. Atha; H. A. Leopold; M. Gildner; S. Oij; C. Chiu; M. Ono","Jet Propulsion Laboratory, California Institute of Technology, Pasadena, CA, USA; Jet Propulsion Laboratory, California Institute of Technology, Pasadena, CA, USA; Jet Propulsion Laboratory, California Institute of Technology, Pasadena, CA, USA; Jet Propulsion Laboratory, California Institute of Technology, Pasadena, CA, USA; Jet Propulsion Laboratory, California Institute of Technology, Pasadena, CA, USA; Jet Propulsion Laboratory, California Institute of Technology, Pasadena, CA, USA; Jet Propulsion Laboratory, California Institute of Technology, Pasadena, CA, USA",2021 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW),"1 Sep 2021","2021","","","1982","1991","Deep learning has quickly become a necessity for self-driving vehicles on Earth. In contrast, the self-driving vehicles on Mars, including NASA’s latest rover, Perseverance, which is planned to land on Mars in February 2021, are still driven by classical machine vision systems. Deep learning capabilities, such as semantic segmentation and object recognition, would substantially benefit the safety and productivity of ongoing and future missions to the red planet. To this end, we created the first large-scale dataset, AI4Mars, for training and validating terrain classification models for Mars, consisting of ~326K semantic segmentation full image labels on 35K images from Curiosity, Opportunity, and Spirit rovers, collected through crowdsourcing. Each image was labeled by ~10 people to ensure greater quality and agreement of the crowdsourced labels. It also includes ~1.5K validation labels annotated by the rover planners and scientists from NASA’s MSL (Mars Science Laboratory) mission, which operates the Curiosity rover, and MER (Mars Exploration Rovers) mission, which operated the Spirit and Opportunity rovers. We trained a DeepLabv3 model on the AI4Mars training dataset and achieved over 96% overall classification accuracy on the test set. The dataset is made publicly available.1 2","2160-7516","978-1-6654-4899-4","10.1109/CVPRW53098.2021.00226","National Aeronautics and Space Administration; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9523149","","Training;Space vehicles;Deep learning;Productivity;Mars;Image segmentation;Semantics","","44","","27","IEEE","1 Sep 2021","","","IEEE","IEEE Conferences"
"A crowdsourced approach to student engagement recognition in e-learning environments","A. Kamath; A. Biswas; V. Balasubramanian","Georgia Institute of Technology; Georgia Institute of Technology; Indian Institute of Technology, Hyderabad",2016 IEEE Winter Conference on Applications of Computer Vision (WACV),"26 May 2016","2016","","","1","9","Massive Open Online Courses (MOOCs) have initiated a revolution in higher education by providing opportunities for interested students to learn from the comfort of their individual locations at their desired pace. However, an important and highly successful aspect of traditional classroom education/pedagogy, which is modulating content delivery based on understanding real-time student feedback, is conspicuously missing in such e-learning environments. We aim to bridge this gap by proposing a system for automatic recognition of students engagement levels during e-learning sessions, using a crowdsourced discriminative learning approach. The key contributions of this work include a custom dataset for engagement recognition that will be made publicly available with corresponding crowdsourced non-aggregated labels, as well as a novel instance-weighted Multiple Kernel Learning SVM method that can directly consider vote distributions from crowdsourcing platforms in the learning methodology. Our results showed a 14% improvement on the dataset against traditional methods, and a 46% improvement when the most ambiguous class from the dataset is ignored, corroborating the promise of the method.","","978-1-5090-0641-0","10.1109/WACV.2016.7477618","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7477618","","Electronic learning;Videos;Real-time systems;Face;Bridges;Crowdsourcing","","43","","33","IEEE","26 May 2016","","","IEEE","IEEE Conferences"
"Personalizing Pedestrian Accessible way-finding with mPASS","S. Mirri; C. Prandi; P. Salomoni","Department of Computer Science and Engineering, Università di Bologna, Bologna, Italy; Department of Computer Science and Engineering, Università di Bologna, Bologna, Italy; Department of Computer Science and Engineering, Università di Bologna, Bologna, Italy",2016 13th IEEE Annual Consumer Communications & Networking Conference (CCNC),"31 Mar 2016","2016","","","1119","1124","This work presents users evaluation of mPASS (mobile Pervasive Accessibility Social Sensing), a system to provide citizens with personalized accessible way finding. mPASS collects data both from crowdsourcing and from crowdsensing, in order to obtain a detailed georeferenced description of the urban environment accessibility. It combines these data with a user profile, with the aim of tailoring paths and maps to users' preferences and needs. To drive the design of our application, we assessed our first proposal through a preliminary questionnaire, showing mPASS mockups to 60 uses with disability and elderly users. On the basis of the results of such questionnaire, we developed a prototype and we tested it with a small group of pilot users. This paper presents results of both the assessments.","2331-9860","978-1-4673-9292-1","10.1109/CCNC.2016.7444946","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7444946","Mobile accessibility;accessible way-finding;personalization;users with special needs;crowdsourcing","Sensors;Crowdsourcing;Urban areas;Wheelchairs;Senior citizens;Routing;Mobile communication","","41","","27","IEEE","31 Mar 2016","","","IEEE","IEEE Conferences"
"PathTrack: Fast Trajectory Annotation with Path Supervision","S. Manen; M. Gygli; D. Dai; L. Van Gool","Computer Vision Laboratory, ETH Zurich, Zurich, Switzerland; Computer Vision Laboratory, ETH Zurich, Zurich, Switzerland; Computer Vision Laboratory, ETH Zurich, Zurich, Switzerland; Computer Vision Laboratory, ETH Zurich, Zurich, ZH, CH",2017 IEEE International Conference on Computer Vision (ICCV),"25 Dec 2017","2017","","","290","299","Progress in Multiple Object Tracking (MOT) has been historically limited by the size of the available datasets. We present an efficient framework to annotate trajectories and use it to produce a MOT dataset of unprecedented size. In our novel path supervision the annotator loosely follows the object with the cursor while watching the video, providing a path annotation for each object in the sequence. Our approach is able to turn such weak annotations into dense box trajectories. Our experiments on existing datasets prove that our framework produces more accurate annotations than the state of the art, in a fraction of the time. We further validate our approach by crowdsourcing the PathTrack dataset, with more than 15,000 person trajectories in 720 sequences. Tracking approaches can benefit training on such large-scale datasets, as did object recognition. We prove this by re-training an off-the-shelf person matching network, originally trained on the MOT15 dataset, almost halving the misclassification rate. Additionally, training on our data consistently improves tracking results, both on our dataset and on MOT15. On the latter, we improve the top-performing tracker (NOMT) dropping the number of ID Switches by 18% and fragments by 5%.","2380-7504","978-1-5386-1032-9","10.1109/ICCV.2017.40","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8237302","","Trajectory;Training;Object detection;Streaming media;Cameras;Training data;Manuals","","40","","56","IEEE","25 Dec 2017","","","IEEE","IEEE Conferences"
"Trojaning Language Models for Fun and Profit","X. Zhang; Z. Zhang; S. Ji; T. Wang",Pennsylvania State University; Pennsylvania State University; Zhejiang University; Pennsylvania State University,2021 IEEE European Symposium on Security and Privacy (EuroS&P),"4 Nov 2021","2021","","","179","197","Recent years have witnessed the emergence of a new paradigm of building natural language processing (NLP) systems: general-purpose, pre-trained language models (LMs) are composed with simple downstream models and fine-tuned for a variety of NLP tasks. This paradigm shift significantly simplifies the system development cycles. However, as many LMs are provided by untrusted third parties, their lack of standardization or regulation entails profound security implications, which are largely unexplored. To bridge this gap, this work studies the security threats posed by malicious LMs to NLP systems. Specifically, we present TrojanLM, a new class of trojaning attacks in which maliciously crafted LMs trigger host NLP systems to malfunction in a highly predictable manner. By empirically studying three state-of-the-art LMs (BERT, GPT-2, XLNet) in a range of security-critical NLP tasks (toxic comment detection, question answering, text completion) as well as user studies on crowdsourcing platforms, we demonstrate that TrojanLM possesses the following properties: (i) flexibility - the adversary is able to flexibly define logical combinations (e.g., ‘and’, ‘or’, ‘xor’) of arbitrary words as triggers, (ii) efficacy - the host systems misbehave as desired by the adversary with high probability when “trigger” -embedded inputs are present, (iii) specificity - the trojan LMs function indistinguishably from their benign counterparts on clean inputs, and (iv) fluency - the trigger-embedded inputs appear as fluent natural language and highly relevant to their surrounding contexts. We provide analytical justification for the practicality of TrojanLM, and further discuss potential countermeasures and their challenges, which lead to several promising research directions.","","978-1-6654-1491-3","10.1109/EuroSP51992.2021.00022","National Science Foundation(grant numbers:1951729,1953813,1953893); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9581257","","Crowdsourcing;Bridges;Buildings;Standardization;Knowledge discovery;Natural language processing;Regulation","","39","","61","IEEE","4 Nov 2021","","","IEEE","IEEE Conferences"
"Privacy-preserving crowdsourced spectrum sensing","X. Jin; Y. Zhang",Arizona State University; Arizona State University,IEEE INFOCOM 2016 - The 35th Annual IEEE International Conference on Computer Communications,"28 Jul 2016","2016","","","1","9","Crowdsourced spectrum sensing has great potential in improving current spectrum database services. Without strong incentives and location privacy protection in place, however, mobile users will be reluctant to act as mobile crowdsourcing workers for spectrum sensing tasks. In this paper, we present PriCSS, the first framework for a crowdsourced spectrum sensing service provider to select spectrum-sensing participants in a differentially privacy-preserving manner. Thorough theoretical analysis and simulation studies show that PriCSS can simultaneously achieve differential location privacy, approximate social cost minimization, and truthfulness.","","978-1-4673-9953-1","10.1109/INFOCOM.2016.7524588","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7524588","","Sensors;Databases;Privacy;Mobile communication;Cascading style sheets;Crowdsourcing;Mobile handsets","","38","","34","IEEE","28 Jul 2016","","","IEEE","IEEE Conferences"
"Towards ubiquitous indoor localization service leveraging environmental physical features","Y. Tian; R. Gao; K. Bian; F. Ye; T. Wang; Y. Wang; X. Li","School of Electronics Engineering and Computer Science, Peking University, Beijing, China; School of Electronics Engineering and Computer Science, Peking University, Beijing, China; School of Electronics Engineering and Computer Science, Peking University, Beijing, China; School of Electronics Engineering and Computer Science, Peking University, Beijing, China; School of Electronics Engineering and Computer Science, Peking University, Beijing, China; School of Electronics Engineering and Computer Science, Peking University, Beijing, China; School of Electronics Engineering and Computer Science, Peking University, Beijing, China",IEEE INFOCOM 2014 - IEEE Conference on Computer Communications,"8 Jul 2014","2014","","","55","63","Mainstream indoor localization technologies rely on RF signatures that require extensive human efforts to measure and periodically re-calibrate. Although recent crowdsourcing based work has started to address the issue, incentives are still lacking for wide user adoption. Thus the progress to ubiquitous localization remains slow. In this paper, we explore an alternative approach that leverages environmental physical features such as store logos or wall posters. A user uses a smartphone to obtain relative position measurements to such static reference points for the system to triangulate the user location. We study the principle of such localization, determine the suitable sensor, and devise guidelines for the user to choose reference points for better accuracy. To enable fast deployment, we propose a lightweight site survey method for service providers to quickly estimate the coordinates of reference points. We incorporate and enhance image matching algorithms with a heuristic technique to automatically identify chosen reference points at high accuracy. Extensive experiments have shown that the prototype achieves 4-5m accuracy at 80-percentile, comparable to the industry state-of-the-art, while covering a 150×75m mall and 300×200m train station requires a one time investment of only 2-3 man-hours from service providers.","0743-166X","978-1-4799-3360-0","10.1109/INFOCOM.2014.6847924","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6847924","","Accuracy;Gyroscopes;Compass;Position measurement;Conferences;Computers;IEEE 802.11 Standards","","38","1","22","IEEE","8 Jul 2014","","","IEEE","IEEE Conferences"
"SmartEye: Real-time and efficient cloud image sharing for disaster environments","Y. Hua; W. He; X. Liu; D. Feng","Wuhan National Lab for Optoelectronics, Huazhong University of Science and Technology, Wuhan, China; School of Computer Science, McGill University, Montreal, Canada; School of Computer Science, McGill University, Montreal, Canada; Wuhan National Lab for Optoelectronics, Huazhong University of Science and Technology, Wuhan, China",2015 IEEE Conference on Computer Communications (INFOCOM),"24 Aug 2015","2015","","","1616","1624","Rapid disaster relief is important to save human lives and reduce property loss. With the wide use of smartphones and their ubiquitous easy access to the Internet, sharing and uploading images to the cloud via smartphones offer a nontrivial opportunity to provide information of disaster zones. However, due to limited available bandwidth and energy, smartphone-based crowdsourcing fails to support the real-time data analytics. The key to efficiently and timely share and analyze the images is to determine the value/worth of the images based on their significance and redundancy, and only upload those valuable and unique images. In this paper, we propose a near-realtime and cost-efficient scheme, called SmartEye, in the cloud-assisted disaster environment. The idea behind SmartEye is to implement QoS-aware in-network deduplication over DiffServ in the software-defined networks (SDN). Due to the ease of use, simplicity and scalability, DiffServ supports the in-network deduplication to meet the needs of differentiated QoS. SmartEye aggregates the flows with similar features via a semantic hashing, and provides communication services for the aggregated, not a single, flow. To achieve these goals, we leverage two main optimization schemes, including semantic hashing and space-efficient filters. Efficient image sharing is helpful to disaster detection and scene recognition. To demonstrate the feasibility of SmartEye, we conduct two real-world case studies in which the loss in Typhoon Haiyan (2013) and Hurricane Sandy (2012) can be identified in a timely fashion by analyzing massive data consisting of more than 22 million images using our SmartEye system. Extensive experimental results illustrate that SmartEye is efficient and effective to achieve real-time analytics in disasters.","0743-166X","978-1-4799-8381-0","10.1109/INFOCOM.2015.7218541","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7218541","","Servers;Feature extraction;Bandwidth;Diffserv networks;Smart phones;Quality of service;Computers","","37","","30","IEEE","24 Aug 2015","","","IEEE","IEEE Conferences"
"Classification of Cultural Heritage Sites Using Transfer Learning","U. Kulkarni; S. M. Meena; S. V. Gurlahosur; U. Mudengudi","K.L.E. Technological University, Hubballi; K.L.E. Technological University, Hubballi; K.L.E. Technological University, Hubballi; K.L.E. Technological University, Hubballi",2019 IEEE Fifth International Conference on Multimedia Big Data (BigMM),"5 Dec 2019","2019","","","391","397","India is a country endowed with rich cultural heritage especially renowned architectural sites of which 37 are UNESCO listed heritage sites. Cultural heritages connects generations over time and we need to preserve them. Architects, historians, travelers etc. They visit many historical sites where it often becomes difficult for them to identify and get historical details about the monument they are interested in. The task of archiving, documenting and sharing the knowledge of these cultural assets is challenging due to the scale and reliability of the information. An accurate prediction of the images to its correct label (heritage site) allows more proficient searches through specific terms, thus helping in the studying and understanding the heritage assets. Classification of data, which involve images, is complex and also time consuming. The present state of art of machine learning techniques can be harnessed to atomize the classification of images. The advent of high processing computing resources, state of art machine learning and deep learning algorithms provide tangible solutions. In this paper, we propose a crowdsourcing platform to collect Indian Digital Heritage Space (IHDS) monuments data, perform image classification and query based retrieval of Image labels. Further we designed a transfer learning based image classifier, which retrained using IHDS dataset on pre-trained MobileNet V2 architecture over ImageNet Dataset. The proposed transfer learning algorithm shows inference accuracy of 98.75%. We demonstrate our crowd source framework using a web application, which is part of Indian Digital Heritage Space (IHDS) project funded by DST, Government of India, New Delhi.","","978-1-7281-5527-2","10.1109/BigMM.2019.00020","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8919332","Classification;Image Net;Crowdsourcing;Indian Heritage Digital Sites (IHDS);models;ensemble;transfer learning;MobileNet","Mathematical model;Machine learning;Cultural differences;Machine learning algorithms;Feature extraction;Training;Task analysis","","36","","25","IEEE","5 Dec 2019","","","IEEE","IEEE Conferences"
