"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Tiger Nation: Empowering citizen scientists","A. D. Mason; G. Michalakidis; P. J. Krause","Department of Computing, Surrey University, Guildford, UK; Department of Computing, Surrey University, Guildford, UK; Department of Computing, Surrey University, Guildford, UK",2012 6th IEEE International Conference on Digital Ecosystems and Technologies (DEST),"2 Jul 2012","2012","","","1","5","The ever-increasing availability of online data and the advances of today's Web have enabled large-scale experimentation on data crowdsourcing and the effect of the individual on information extraction and knowledge generation. Tiger Nation, a project to promote preservation of the last remaining wild tigers in the world, utilises advanced technologies to unobtrusively track tigers and raise awareness as a participatory sensing exemplar. Through a tiger stripe recognition algorithm and gamification elements that complement the identification process, we have achieved higher levels of accuracy compared to the conventional means, as well as high levels of engagement from the community of users.","2150-4946","978-1-4673-1703-0","10.1109/DEST.2012.6227943","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6227943","digital ecosystems;citizen science;collaborative working;digital economy;participatory sensing","Games;Communities;Ecosystems;Humans;Cats;Wildlife;Proteins","","17","","14","IEEE","2 Jul 2012","","","IEEE","IEEE Conferences"
"Crowdsourced study of subjective image quality","D. Ghadiyaram; A. C. Bovik","Laboratory of Image and Video Engineering (LIVE), The University of Texas, Austin; Laboratory of Image and Video Engineering (LIVE), The University of Texas, Austin","2014 48th Asilomar Conference on Signals, Systems and Computers","27 Apr 2015","2014","","","84","88","We designed and created a new image quality database that models diverse authentic image distortions and artifacts that affect images that are captured using modern mobile devices. We also designed and implemented a new online crowdsourcing system, which we are using to conduct a very large-scale, on-going, multi-month image quality assessment (IQA) subjective study, wherein a wide range of diverse observers record their judgments of image quality. Our database currently consists of over 320,000 opinion scores on 1,163 authentically distorted images evaluated by over 7000 human observers. The new database will soon be made freely available for download and we envision that the fruits of our efforts will provide researchers with a valuable tool to benchmark and improve the performance of objective IQA algorithms.","1058-6393","978-1-4799-8297-4","10.1109/ACSSC.2014.7094402","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7094402","image quality;quality assessment;crowd-sourcing;human study","Databases;Image quality;Quality assessment;Crowdsourcing;Standards;Video recording;Visualization","","15","","16","IEEE","27 Apr 2015","","","IEEE","IEEE Conferences"
"Intelligent hearing aids: The next revolution","T. Zhang; F. Mustiere; C. Micheyl","Starkey Hearing Technologies, Eden Prairie, MN, USA; Starkey Hearing Technologies, Eden Prairie, MN, USA; Starkey Hearing Technologies, Eden Prairie, MN, USA",2016 38th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC),"18 Oct 2016","2016","","","72","76","The first revolution in hearing aids came from nonlinear amplification, which allows better compensation for both soft and loud sounds. The second revolution stemmed from the introduction of digital signal processing, which allows better programmability and more sophisticated algorithms. The third revolution in hearing aids is wireless, which allows seamless connectivity between a pair of hearing aids and with more and more external devices. Each revolution has fundamentally transformed hearing aids and pushed the entire industry forward significantly. Machine learning has received significant attention in recent years and has been applied in many other industries, e.g., robotics, speech recognition, genetics, and crowdsourcing. We argue that the next revolution in hearing aids is machine intelligence. In fact, this revolution is already quietly happening. We will review the development in at least three major areas: applications of machine learning in speech enhancement; applications of machine learning in individualization and customization of signal processing algorithms; applications of machine learning in improving the efficiency and effectiveness of clinical tests. With the advent of the internet of things, the above developments will accelerate. This revolution will bring patient satisfactions to a new level that has never been seen before.","1558-4615","978-1-4577-0220-4","10.1109/EMBC.2016.7590643","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7590643","","Hearing aids;Speech;Speech enhancement;Signal processing algorithms;Noise measurement;Microphones;Bayes methods","Algorithms;Hearing Aids;Hearing Tests;Humans;Machine Learning;Precision Medicine;Signal Processing, Computer-Assisted;Speech Intelligibility;Speech Perception","13","1","26","IEEE","18 Oct 2016","","","IEEE","IEEE Conferences"
"Noninvasive fetal ECG: The PhysioNet/Computing in Cardiology Challenge 2013","I. Silva; J. Behar; R. Sameni; T. Zhu; J. Oster; G. D. Clifford; G. B. Moody","Cambridge, MA, USA; Dept. of Engineering Science, University of Oxford, UK; School of Electrical and Computer Engineering, Sharif University, Iran; Dept. of Engineering Science, University of Oxford, UK; Dept. of Engineering Science, University of Oxford, UK; Dept. of Engineering Science, University of Oxford, UK; Massachusetts Institute of Technology, Cambridge, MA, USA",Computing in Cardiology 2013,"16 Jan 2014","2013","","","149","152","The PhysioNet/CinC 2013 Challenge aimed to stimulate rapid development and improvement of software for estimating fetal heart rate (FHR), fetal interbeat intervals (FRR), and fetal QT intervals (FQT), from multichannel recordings made using electrodes placed on the mother's abdomen. For the challenge, five data collections from a variety of sources were used to compile a large standardized database, which was divided into training, open test, and hidden test subsets. Gold-standard fetal QRS and QT interval annotations were developed using a novel crowdsourcing framework.","2325-8853","978-1-4799-0886-8","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6712433","","Cardiology;Fetal heart rate;Electrocardiography;Estimation;Open source software;Time series analysis","","13","","36","","16 Jan 2014","","","IEEE","IEEE Conferences"
"Virtual Detection at Intersections using Connected Vehicle Trajectory Data","H. Li; C. M. Day; D. M. Bullock","School of Civil Engineering, Purdue University, West Lafayette, Indiana, United States of America; School of Civil Engineering, Purdue University, West Lafayette, Indiana, United States of America; School of Civil Engineering, Purdue University, West Lafayette, Indiana, United States of America",2016 IEEE 19th International Conference on Intelligent Transportation Systems (ITSC),"26 Dec 2016","2016","","","2571","2576","Performance measures and adaptive control methodologies for traffic signal systems currently require intersections to be instrumented with vehicle detectors and communication equipment, which can require substantial engineering resources to deploy and maintain. Recent studies have explored the use of Connected Vehicle (CV) data for signal performance measures at various levels of market penetration, with some results showing possibilities for analyzing coordinated operations with penetration rates as low as 1-5%. The current study explores whether CV trajectory data (based on the crowdsourcing of timestamped vehicle and mobile device locations) can currently be used for this purpose. The study compares in-pavement detector data with “virtual” detector line data based on geo-fencing of trajectory splines. The Purdue Coordination Diagram (PCD), arrival flow profile, and cumulative arrival performance measures are used to assess and compare both data sources. The comparisons indicate that percent on green (POG) estimates from CV trajectories come within 0.1 to 15.7% of the in-pavement detector data, with the highest accuracy attributing to time-of-day periods with moderate traffic and high POG. Market penetration rate of CV in this study vary between approximately 0.6 to 2%.","2153-0017","978-1-5090-1889-5","10.1109/ITSC.2016.7795969","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7795969","Vehicle trajectory data;probe vehicle data;traffic signals;performance measures;visualization;trips;waypoints;traffic signal coordination;connected vehicles","Vehicles;Trajectory;Detectors;Vehicle detection;Sea measurements;Roads;Probes","","13","","19","IEEE","26 Dec 2016","","","IEEE","IEEE Conferences"
"What is the ground truth? Reliability of multi-annotator data for audio tagging","I. Martín-Morató; A. Mesaros","Computing Sciences, Tampere University, Tampere, FINLAND; Computing Sciences, Tampere University, Tampere, FINLAND",2021 29th European Signal Processing Conference (EUSIPCO),"8 Dec 2021","2021","","","76","80","Crowdsourcing has become a common approach for annotating large amounts of data. It has the advantage of harnessing a large workforce to produce large amounts of data in a short time, but comes with the disadvantage of employing non-expert annotators with different backgrounds. This raises the problem of data reliability, in addition to the general question of how to combine the opinions of multiple annotators in order to estimate the ground truth. This paper presents a study of the annotations and annotators' reliability for audio tagging. We adapt the use of Krippendorf's alpha and multi-annotator competence estimation (MACE) for a multi-labeled data scenario, and present how MACE can be used to estimate a candidate ground truth based on annotations from non-expert users with different levels of expertise and competence.","2076-1465","978-9-0827-9706-0","10.23919/EUSIPCO54536.2021.9616087","Academy of Finland(grant numbers:332063); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9616087","","Crowdsourcing;Annotations;Europe;Estimation;Tagging;Signal processing;Reliability","","12","","21","","8 Dec 2021","","","IEEE","IEEE Conferences"
"Thai Clickbait Detection Algorithms Using Natural Language Processing with Machine Learning Techniques","P. Klairith; S. Tanachutiwat","Department of Electrical and Software Systems Engineering, King Mongkut's University of Technology North Bangkok, Bangkok, Thailand; Department of Electrical and Software Systems Engineering, King Mongkut's University of Technology North Bangkok, Bangkok, Thailand","2018 International Conference on Engineering, Applied Sciences, and Technology (ICEAST)","16 Aug 2018","2018","","","1","4","This paper proposes the approach based on machine learning for detection of Thai clickbait. The clickbait messages often adopt eye-catching on wording, lagging of information on a content to attract visitors. We contribute the clickbait corpus by crowdsourcing, 30,000 of headlines are selected to draw up the dataset. In this work attempt to develop clickbait detection model using two type of features in the embedding layer and three different of networks in the hidden layer. BiLSTM with word level embedding performs very well achieving accuracy rate of 0.98, fl-score of 0.98.","","978-1-5386-4956-5","10.1109/ICEAST.2018.8434447","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8434447","clickbait detection;Thai text classifier;Recurrent Neural Network","Machine learning;Logic gates;Natural language processing;Recurrent neural networks;Text categorization;Social network services","","12","","15","IEEE","16 Aug 2018","","","IEEE","IEEE Conferences"
"Toward Interface Defaults for Vague Modifiers in Natural Language Interfaces for Visual Analysis","M. Hearst; M. Tory; V. Setlur","UC Berkeley; Tableau Software, Inc.; Tableau Research",2019 IEEE Visualization Conference (VIS),"19 Dec 2019","2019","","","21","25","Natural language interfaces for data visualizations tools are growing in importance, but little research has been done on how a system should respond to questions that contain vague modifiers like ""high"" and ""expensive."" This paper makes a first step toward design guidelines for this problem, based on existing research from cognitive linguistics and the results of a new empirical study with 274 crowdsourcing participants. A comparison of four bar chart-based views finds that highlighting the top items according to distribution-sensitive values is preferred in most cases and is a good starting point as a design guideline.","","978-1-7281-4941-7","10.1109/VISUAL.2019.8933569","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8933569","Human-centered computing;Visualization","Shape;Bars;Data visualization;Linguistics;Visualization;Tools","","11","","27","IEEE","19 Dec 2019","","","IEEE","IEEE Conferences"
"The influence of camera shakes, harmful occlusions and camera misalignment on the perceived quality in user generated video","S. Wilk; W. Effelsberg","Distributed Multimedia Systems, Technical University of Darmstadt, Germany; Distributed Multimedia Systems, Technical University of Darmstadt, Germany",2014 IEEE International Conference on Multimedia and Expo (ICME),"8 Sep 2014","2014","","","1","6","Video sharing sites such as Youtube are prominent examples for the increasing demand of private camera owners to record, save and share their real life experiences as videos. Whereas professional video productions use advanced camera equipment in a controlled environment with skilled cameramen, User-Generated Video (UGV) differs significantly in regard of equipment, skill and thus in video quality. In this work we focus on a detailed analysis of the effects of camera shakes, harmful occlusions as well as a possible misalignment between the recording camera and the scene, on the resulting video quality. In contrast, most of the video quality discussion in the literature has focused on encoding artifacts and other compression problems. Our data was systematically gathered using large crowdsourcing experiments over three genres of video, and it was validated in a controlled lab setting. Our results show that even minimal camera shaking as well as occlusions lead to a significant reduction in the perceived video quality.","1945-788X","978-1-4799-4761-4","10.1109/ICME.2014.6890284","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6890284","Viewing quality;QoE;Crowdsourcing;Degradation;Occlusion;Camera Shake;Misalignment","Cameras;Video sequences;Quality assessment;Crowdsourcing;Degradation;Video recording;Streaming media","","11","","9","IEEE","8 Sep 2014","","","IEEE","IEEE Conferences"
"The QoE assessment model for 5G mobile technology","F. Andriyanto; M. Suryanegara","Department of Electrical Engineering, Universitas Indonesia; Department of Electrical Engineering, Universitas Indonesia","2017 International Conference on Broadband Communication, Wireless Sensors and Powering (BCWSP)","1 Feb 2018","2017","","","1","5","This paper aims to develop the assessment model of Quality of Experience (QoE) for the upcoming 5G mobile technology. The 5G usage scenarios have been developed by ITU to facilitate mobile capabilities that will be needed in the future, namely Enhanced Mobile Broadband, Ultra-reliable and low latency communications, and Massive Machine type communications. The model links the technical concern of Quality of Service (QoS) to the relevant 5G service experience on each of 5G scenarios. It utilizes the crowdsourcing service quality assessment on the three characteristics. First, it signifies the 5G service applications underlying enhanced multimedia broadband scenario which is differentiated by location-related two cases, i.e. the hotspot area and wide area coverage. Second, the model signifies the 5G service underlying the ultra-reliable and low-latency communications which is focusing on QoS parameters, i.e. latency, reliability and availability. Third, the developed model emphasizes energy efficiency implication on the scenario of massive-machine type communications. Finally, the model can be used by mobile operators as a reference guide to asses and also to improve the quality of experience when the values are below expectation.","","978-1-5386-2833-1","10.1109/BCWSP.2017.8272574","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8272574","QoE;5G;QoE assessment;Quality of Experience","Quality of experience;5G mobile communication;Quality of service;ITU;Broadband communication;Throughput","","11","","14","IEEE","1 Feb 2018","","","IEEE","IEEE Conferences"
