"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"BERT for Sentiment Classification in Software Engineering","J. Wu; C. Ye; H. Zhou","School of Computer Science and CyberSpace Security, Hainan University, Haikou, China; School of Computer Science and CyberSpace Security, Hainan University, Haikou, China; School of Computer Science and CyberSpace Security, Hainan University, Haikou, China",2021 International Conference on Service Science (ICSS),"26 Jul 2021","2021","","","115","121","Sentiment analysis (SA) has been applied to various fields of software engineering (SE), such as app reviews, stack overflow Q&A website and API comments. General SA tools are trained based on movie or product review data. Research has shown that these SA tools can produce negative results when applied to the field of SE. In order to overcome the above limitations, developers need to customize tools (e.g., SentiStrength-SE, SentiCR, Senti4SD). In recent years, the pre-trained transformer-based models have brought great breakthroughs in the field of natural language processing. Therefore, we intend to fine-tune the pre-trained model BERT for downstream text classification tasks. We compare the performance of SE-specific tools. Meanwhile, we also studied the performance of SE-specific tools in a cross-platform setting. Experimental results show that our approach (BERT-FT) outperforms the existing state-of-the-art models in terms of F1-scores.","","978-1-6654-4045-5","10.1109/ICSS53362.2021.00026","Research and Development; Natural Science Foundation of Hainan Province; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9492202","sentiment analysis;software engineering;Natural Language processing","Sentiment analysis;Bit error rate;Text categorization;Tools;Motion pictures;Task analysis;Software engineering","","6","","33","IEEE","26 Jul 2021","","","IEEE","IEEE Conferences"
"Linking Personality Traits and Interpersonal Skills to Gamification Awards","M. Papoutoglou; G. M. Kapitsaki; N. Mittas","Aristotle University of Thessaloniki, Thessaloniki, GR; Department of Computer Science, University of Cyprus, Nicosia, Cyprus; Department of Petroleum, Thrace Institute of Technology",2018 44th Euromicro Conference on Software Engineering and Advanced Applications (SEAA),"21 Oct 2018","2018","","","214","221","Software repositories and Question & Answer sites constitute promising and ever-increasing sources of information for software analytics and for the identification of the role of the human factor in software engineering. Empirical evidence suggests that studying the human factor in software-related issues is multifaceted. Although analyses on different levels of developer networks have been performed, there is no existing work that moves beyond developer technical skills to take into account other important factors that might affect development work, such as personality and non-technical skills. For this reason, in this work we propose an approach that aims at finding links between badges – a sort of gamification awarded for developer's participation – personality traits, and interpersonal skills from Stack Overflow developers' community. The Generalized Linear Models (GLM) approach is adopted in order to examine the effects of personality traits and interpersonal skills on the non-technical awarded badges. Experimental results from the application of the proposed framework revealed statistically significant effects of both personality traits and interpersonal skills on the award gamification process.","","978-1-5386-7383-6","10.1109/SEAA.2018.00042","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8498209","people analytics;software repositories;personality traits;competence mining","Feature extraction;Software;Data mining;Human factors;Software engineering;Encoding;Linguistics","","5","","28","IEEE","21 Oct 2018","","","IEEE","IEEE Conferences"
"Expositor: Scriptable time-travel debugging with first-class traces","K. Y. Phang; J. S. Foster; M. Hicks","Computer Science Department, University of Maryland, College Park, MD, USA; Computer Science Department, University of Maryland, College Park, MD, USA; Computer Science Department, University of Maryland, College Park, MD, USA",2013 35th International Conference on Software Engineering (ICSE),"26 Sep 2013","2013","","","352","361","We present Expositor, a new debugging environment that combines scripting and time-travel debugging to allow programmers to automate complex debugging tasks. The fundamental abstraction provided by Expositor is the execution trace, which is a time-indexed sequence of program state snapshots. Programmers can manipulate traces as if they were simple lists with operations such as map and filter. Under the hood, Expositor efficiently implements traces as lazy, sparse interval trees whose contents are materialized on demand. Expositor also provides a novel data structure, the edit hash array mapped trie, which is a lazy implementation of sets, maps, multisets, and multimaps that enables programmers to maximize the efficiency of their debugging scripts. We have used Expositor to debug a stack overflow and to unravel a subtle data race in Firefox. We believe that Expositor represents an important step forward in improving the technology for diagnosing complex, hard-to-understand bugs.","1558-1225","978-1-4673-3076-3","10.1109/ICSE.2013.6606581","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6606581","","Debugging;Data structures;Optimized production technology;Force;Computer bugs;Writing;Programming","","5","22","29","IEEE","26 Sep 2013","","","IEEE","IEEE Conferences"
"Challenges in Analyzing Software Documentation in Portuguese","C. Treude; C. A. Prolo; F. F. Filho","Departamento de Informática e Matemática Aplicada, Universidade Federal do Rio Grande do Norte, Natal, RN, Brazil; Departamento de Informática e Matemática Aplicada, Universidade Federal do Rio Grande do Norte, Natal, RN, Brazil; Departamento de Informática e Matemática Aplicada, Universidade Federal do Rio Grande do Norte, Natal, RN, Brazil",2015 29th Brazilian Symposium on Software Engineering,"12 Nov 2015","2015","","","179","184","Many tools that automatically analyze, summarize, or transform software artifacts rely on natural language processing tooling for the interpretation of natural language text produced by software developers, such as documentation, code comments, commit messages, or bug reports. Processing natural language text produced by software developers is challenging because of unique characteristics not found in other texts, such as the presence of code terms and the systematic use of incomplete sentences. In addition, texts produced by Portuguese-speaking developers mix languages since many keywords and programming concepts are referred to by their English name. In this paper, we provide empirical insights into the challenges of analyzing software artifacts written in Portuguese. We analyzed 100 question titles from the Portuguese version of Stack Overflow with two Portuguese language tools and identified multiple problems which resulted in very few sentences being tagged completely correctly. Based on these results, we propose heuristics to improve the analysis of natural language text produced by software developers in Portuguese.","","978-1-4673-9272-3","10.1109/SBES.2015.27","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7328022","Documentation;natural language processing","Software;Tagging;Programming;Documentation;Reactive power;Natural language processing","","5","","29","IEEE","12 Nov 2015","","","IEEE","IEEE Conferences"
"What Do Developers Discuss about Code Comments?","P. Rani; M. Birrer; S. Panichella; M. Ghafari; O. Nierstrasz","Software Composition Group, University of Bern, Bern, Switzerland; Software Composition Group, University of Bern, Bern, Switzerland; Zurich University of Applied Science (ZHAW), Switzerland; University of Auckland, New Zealand; Software Composition Group, University of Bern, Bern, Switzerland",2021 IEEE 21st International Working Conference on Source Code Analysis and Manipulation (SCAM),"24 Nov 2021","2021","","","153","164","Code comments are important for program comprehension, development, and maintenance tasks. Given the varying standards for code comments, and their unstructured or semi-structured nature, developers get easily confused (especially novice developers) about which convention(s) to follow, or what tools to use while writing code documentation. Thus, they post related questions on external online sources to seek better commenting practices. In this paper, we analyze code comment discussions on online sources such as Stack Overflow (SO) and Quora to shed some light on the questions developers ask about commenting practices. We apply Latent Dirichlet Allocation (LDA) to identify emerging topics concerning code comments. Then we manually analyze a statistically significant sample set of posts to derive a taxonomy that provides an overview of the developer questions about commenting practices.Our results highlight that on SO nearly 40% of the questions mention how to write or process comments in documentation tools and environments, and nearly 20% of the questions are about potential limitations and possibilities of documentation tools to add automatically and consistently more information in comments. On the other hand, on Quora, developer questions focus more on background information (35% of the questions) or asking opinions (16% of the questions) about code comments. We found that (i) not all aspects of comments are covered in coding style guidelines, e.g., how to add a specific type of information, (ii) developers need support in learning the syntax and format conventions to add various types of information in comments, and (iii) developers are interested in various automated strategies for comments such as detection of bad comments, or verify comment style automatically, but lack tool support to do that.","2470-6892","978-1-6654-4897-0","10.1109/SCAM52516.2021.00027","National Science Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9610635","Mining online sources;Stack Overflow;Quora;Code Comment analysis;Software documentation","Codes;Taxonomy;Documentation;Manuals;Tools;Syntactics;Maintenance engineering","","5","","51","IEEE","24 Nov 2021","","","IEEE","IEEE Conferences"
"Worrisome Patterns in Developers: A Survey in Cryptography","M. Hazhirpasand; M. Ghafari","Oscar Nierstrasz, University of Bern, Bern, Switzerland; University of Auckland, Auckland, New Zealand",2021 36th IEEE/ACM International Conference on Automated Software Engineering Workshops (ASEW),"24 Jan 2022","2021","","","185","190","We surveyed 97 developers who had used cryptography in open-source projects, in the hope of identifying developer security and cryptography practices. We asked them about individual and company-level practices, and divided respondents into three groups (i.e., high, medium, and low) based on their level of knowledge. We found differences between the high-profile developers and the other two groups. For instance, high-profile developers have more years of experience in programming, have attended more security and cryptography courses, have more background in security, are highly concerned about security, and tend to use security tools more than the other two groups. Never-theless, we observed worrisome patterns among all participants such as the high usage of unreliable sources like Stack Overflow, and the low rate of security tool usage.","2151-0830","978-1-6654-3583-3","10.1109/ASEW52652.2021.00045","Swiss National Science Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9680282","Security;cryptography;survey","Training;Conferences;Companies;Programming;Cryptography;Open source software;Software engineering","","5","","25","IEEE","24 Jan 2022","","","IEEE","IEEE Conferences"
"An Empirical Study on Microservice Software Development","F. Ramírez; C. Mera-Gómez; R. Bahsoon; Y. Zhang","Southern University of Science and Technology of China; Escuela Superior Politécnica del Litoral, ESPOL, Facultad de Ingeniería en Electricidad y Computación, ESPOL Polythecnic University, Guayaquil, Ecuador; School of Computer Science, University of Birmingham, Edgbaston, UK; Southern University of Science and Technology of China","2021 IEEE/ACM Joint 9th International Workshop on Software Engineering for Systems-of-Systems and 15th Workshop on Distributed Software Development, Software Ecosystems and Systems-of-Systems (SESoS/WDES)","7 Jul 2021","2021","","","16","23","Microservice is an approach to software development, in which an application is designed and constructed to maximise the benefits of modularisation. This approach improves the testing of applications, where modularization can limit the propagation of bugs and facilitates their detection. Though the microservices paradigm has the potentials to ease the automation of bugs detection and fixing, the process is still less understood by the microservices community. To bridge this gap and accelerate such an understanding, we extracted posts from Stack Overflow to identify the most commonly discussed issues in microservice development and testing and we categorised the concerns. Our results indicate that (i) missing parameters and operations are the most common concerns in service routing; (ii) wrong versions of libraries, annotations, protocols, and clusters appear as the main concerns on service discovery; (iii) the absence of authorisation operation and web tokens exposed for a long time are the main concerns related to service authentication and authorisation; and (iv) the absence of configuration parameters for cache and inadequate patterns for long-running transactions emerge as trending concerns in service invocation. We analyse our findings and provide suggestions for future research.","","978-1-6654-4561-0","10.1109/SESoS-WDES52566.2021.00008","National Natural Science Foundation of China; Shenzhen Peacock Plan; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9474602","Microservices;Empirical Studies;Software Development","Authorization;Protocols;Annotations;Conferences;Computer bugs;Authentication;Routing","","5","","39","IEEE","7 Jul 2021","","","IEEE","IEEE Conferences"
"Android low entropy demystified","Y. Ding; Z. Peng; Y. Zhou; C. Zhang","Peking University and UC Berkeley, Berkeley, CA, USA; University of Michigan, Ann Arbor, MI, USA; University of Michigan, Ann Arbor, MI, USA; UC Berkeley, Berkeley, CA, USA",2014 IEEE International Conference on Communications (ICC),"28 Aug 2014","2014","","","659","664","We look into the issue that the amount of entropy kept by the pseudorandom number generator (PRNG) of Android is constantly low. We find that the accusation against this issue of causing poor performance and low frame rate experienced by users is ungrounded. We also investigate possible security vulnerabilities resulting from this issue. We find that this issue does not affect the quality of random numbers that are generated by the PRNG and used in Android applications because recent Android devices do not lack entropy sources. However, we identify a vulnerability in which the stack canary for all future Android applications is generated earlier than the PRNG is properly setup. This vulnerability makes stack overflow simpler and threats Android applications linked with native code (through NDK) as well as Dalvik VM instances. An attacker could nullify the stack protecting mechanism, given the knowledge of the time of boot or a malicious app running on the victim device. This vulnerability also affects the address space layout randomization (ASLR) mechanism on Android, and can turn it from a weak protection to void. We discuss in this paper several possible attacks against this vulnerability as well as ways of defending. As this vulnerability is rooted in an essential Android design choice since the very first version, it is difficult to fix.","1938-1883","978-1-4799-2003-7","10.1109/ICC.2014.6883394","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6883394","","Entropy;Androids;Humanoid robots;Linux;Security;Kernel;Smart phones","","4","","9","IEEE","28 Aug 2014","","","IEEE","IEEE Conferences"
"Forge++: The Changing Landscape of FLOSS Development","M. Squire",Elon University,2014 47th Hawaii International Conference on System Sciences,"10 Mar 2014","2014","","","3266","3275","Software forges are centralized online systems that provide useful tools to help distributed development teams work together, especially in free, libre, and open source software (FLOSS). Forge-provided tools may include web space, version control systems, mailing lists and communication forums, bug tracking systems, file downloads, wikis, and the like. Empirical software engineering researchers can mine the artifacts from these tools to better understand how FLOSS is made. As the landscape of distributed software development has grown and changed, the tools needed to make FLOSS have changed as well. There are three newer tools at the center of FLOSS development today: distributed version control based forges (like Github), programmer question-and-answer communities (like Stack Overflow), and paste bin tools (like Gist or Pastebin.com). These tools are extending and changing the toolset used for FLOSS development, and redefining what a software forge looks like. The main contributions of this paper are to describe each of these tools, to identify the data and artifacts available for mining from these tools, and to outline some of the ways researchers can use these artifacts to continue to understand how FLOSS is made.","1530-1605","978-1-4799-2504-9","10.1109/HICSS.2014.405","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6759007","open source software;forges;repositories;pastebin;stack overflow;github;software development","Software;Licenses;Google;Computer languages;Control systems;Communities;Data mining","","4","","37","IEEE","10 Mar 2014","","","IEEE","IEEE Conferences"
"Predicting semantically linkable knowledge in developer online forums via convolutional neural network","B. Xu; D. Ye; Z. Xing; X. Xia; G. Chen; S. Li","College of Computer Science and Technology, Zheiiana University, China; College of Computer Science and Technology, Zheiiana University, China; College of Computer Science and Technology, Zheiiana University, China; School of Computer Science and Engineering, Nanyang Technological University, Singapore; School of Computer Science and Engineering, Nanyang Technological University, Singapore; School of Computer Science and Engineering, Nanyang Technological University, Singapore",2016 31st IEEE/ACM International Conference on Automated Software Engineering (ASE),"6 Oct 2016","2016","","","51","62","Consider a question and its answers in Stack Overflow as a knowledge unit. Knowledge units often contain semantically relevant knowledge, and thus linkable for different purposes, such as duplicate questions, directly linkable for problem solving, indirectly linkable for related information. Recognising different classes of linkable knowledge would support more targeted information needs when users search or explore the knowledge base. Existing methods focus on binary relatedness (i.e., related or not), and are not robust to recognize different classes of semantic relatedness when linkable knowledge units share few words in common (i.e., have lexical gap). In this paper, we formulate the problem of predicting semantically linkable knowledge units as a multiclass classification problem, and solve the problem using deep learning techniques. To overcome the lexical gap issue, we adopt neural language model (word embeddings) and convolutional neural network (CNN) to capture word- and document-level semantics of knowledge units. Instead of using human-engineered classifier features which are hard to design for informal user-generated content, we exploit large amounts of different types of user-created knowledge-unit links to train the CNN to learn the most informative wordlevel and document-level features for the multiclass classification task. Our evaluation shows that our deep-learning based approach significantly and consistently outperforms traditional methods using traditional word representations and human-engineered classifier features.","","978-1-4503-3845-5","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7582745","Link prediction;Semantic relatedness;Multiclass classification;Deep learning;Mining software repositories","Semantics;Knowledge engineering;Software;Uniform resource locators;Complex networks;Machine learning;Social network services","","4","","51","","6 Oct 2016","","","IEEE","IEEE Conferences"
